"'Table 3-Aesculus, ripeness criteria","'buckeye:","'height, year","'first cultivated, flower","'color,","'seed-bearing","'age, seed crop","'frequency, and fruit",
"'","'","'","'","'Min","'","'Fruit","'ripeness criteria",
"'Species","'Height at maturity (m)","'Year Ist cultivated","'Flower color","'seed- bearing age (yr)","'Years of large seedcrops","'Preripe color","'Ripe color",
"'A. californica","'4.5-12","'1855","'White to rose","'5","'I-2","'","'Pale brown",
"'A. flava","'7.5-27","'1764","'Yellow","'-","'-","'Yellowish","'Yellowish",
"'A. glabra","'9-21","'1809","'Pale greenish yellow","'8","'-","'Green","'Yellowish",
"'var. arguta","'2-11","'1909","'Light yellowish green","'8","'I+","'Yellow","'Yellowish green",
"'A. hippocastanum","'7.5-24","'1576","'White tinged with red","'-","'I-2","'Green","'Yellowish brown",
"'A. parviflora","'4.5-6","'-","'White","'-","'-","'","'-",
"'A. pavia","'2.5-8.5","'1711","'Bright red","'-","'-","'","'Light brown",
"'A. sylvatica","'7.5-20","'1826","'Pale yellow, red veins towards base","'8","'I+","'Yellow-green","'Yellowish tan",
,,,,,,,

'Confidence Scores % (Table Cell)
""'62.35351563","'62.35351563","'62.35351563","'62.35351563","'62.35351563","'62.35351563","'62.35351563","'62.35351563",
"'93.70117188","'92.72460938","'90.72265625","'93.65234375","'93.94531250","'94.48242188","'87.79296875","'87.79296875",
"'93.70117188","'92.72460938","'90.72265625","'93.65234375","'93.94531250","'94.48242188","'91.89453125","'92.28515625",
"'89.50195313","'84.17968750","'86.32812500","'90.47851563","'86.81640625","'88.57421875","'88.86718750","'89.25781250",
"'81.39648438","'76.56250000","'78.51562500","'82.27539063","'78.90625000","'80.51757813","'80.81054688","'81.20117188",
"'80.71289063","'75.87890625","'77.83203125","'81.54296875","'78.22265625","'79.83398438","'80.12695313","'80.46875000",
"'78.51562500","'73.82812500","'75.73242188","'79.34570313","'76.12304688","'77.68554688","'77.97851563","'78.32031250",
"'85.59570313","'80.46875000","'82.56835938","'86.52343750","'83.00781250","'84.66796875","'85.00976563","'85.40039063",
"'86.42578125","'81.29882813","'83.39843750","'87.35351563","'83.83789063","'85.54687500","'85.83984375","'86.23046875",
"'77.53906250","'72.90039063","'74.80468750","'78.36914063","'75.19531250","'76.70898438","'77.00195313","'77.34375000",
"'92.57812500","'87.06054688","'89.30664063","'93.55468750","'89.74609375","'91.60156250","'91.89453125","'92.33398438",
