"'Table 6-Eucalyptus, conditions","'eucalyptus:","'germination","'test",
"'Species","'Daily light exposure (hrs)","'Temp (C)","'Days",
"'E. camaldulensis","'24","'35","'14",
"'E. citriodora.","'0","'25","'14",
"'E. dalrympleana","'24","'25","'14",
"'E. delegatensist","'0","'20","'14",
"'E. fastigatat","'0","'25","'14 or 21",
"'E. glaucescens","'24","'20","'14 or 21",
"'E. globulus","'24","'25","'14",
"'E. grandis","'0","'25","'14",
"'E. microcorys","'24","'20$","'28",
"'E. nitenst","'24","'20","'14 or 21",
"'E. obliqua","'0","'20","'14",
"'E. paniculata","'24","'20$","'28",
"'E. pilularis","'0","'20","'14",
"'E. regnans","'24","'25","'21",
"'E. robusta","'24","'20","'28",
"'E. rudis","'24","'35","'14",
"'E. saligna","'24","'25","'28",
"'E. sideroxylon","'24","'20","'14",
"'E. viminalis","'24","'25","'14",
,,,

'Confidence Scores % (Table Cell)
""'73.77929688","'73.77929688","'73.77929688","'73.77929688",
"'92.91992188","'93.89648438","'89.25781250","'94.72656250",
"'87.84179688","'88.72070313","'84.32617188","'89.55078125",
"'81.54296875","'82.37304688","'78.32031250","'83.15429688",
"'86.62109375","'87.50000000","'83.20312500","'88.33007813",
"'86.52343750","'87.45117188","'83.10546875","'88.23242188",
"'88.08593750","'88.96484375","'84.57031250","'89.79492188",
"'86.32812500","'87.20703125","'82.86132813","'87.98828125",
"'89.55078125","'90.47851563","'85.98632813","'91.30859375",
"'88.47656250","'89.40429688","'84.96093750","'90.23437500",
"'88.08593750","'88.96484375","'84.57031250","'89.79492188",
"'84.81445313","'85.69335938","'81.44531250","'86.47460938",
"'86.91406250","'87.79296875","'83.44726563","'88.62304688",
"'84.96093750","'85.83984375","'81.59179688","'86.62109375",
"'83.98437500","'84.86328125","'80.66406250","'85.64453125",
"'87.45117188","'88.37890625","'83.98437500","'89.16015625",
"'88.03710938","'88.91601563","'84.52148438","'89.74609375",
"'86.86523438","'87.74414063","'83.39843750","'88.57421875",
"'89.11132813","'90.03906250","'85.59570313","'90.86914063",
"'84.03320313","'84.91210938","'80.71289063","'85.69335938",
"'91.69921875","'92.67578125","'88.08593750","'93.50585938",
