"'Table I-Cotoneaster, cotoneaster:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'C. acutifolius Turcz. C. acutifolia Turcz. C. pekinensis Zab.","'Peking cotoneaster","'North China; introduced from North Dakota to Nebraska & upper mid-West, S Canadian prairie provinces",
"'C. apiculatus Rehd. & Wilson C. apiculata Rehd. & Wilson","'cranberry cotoneaster","'W China; introduced from North Dakota to Nebraska & upper mid-West",
"'C. horizontalis Dcne. C. davidiana Hort.","'rock cotoneaster, rockspray cotoneaster, quinceberry","'W China; introduced from North Dakota to Nebraska & upper mid-West, S central Washington",
"'C. integerrimus Medic. C. vulgaris Lindl.","'European cotoneaster","'Europe, W Asia, Siberia",
"'C. lucidus Schltdl. C. acutifolia Lindl., not Turcz. C. sinensis Hort.","'hedge cotoneaster","'Altai Mtns & Lake Baikal region of Asia",
"'C. niger (Thunb.) Fries C. melanocarpus Lodd.","'black cotoneaster, darkseed cotoneaster","'Europe to NE & central Asia, introduced from North Dakota to Nebraska",
,,

'Confidence Scores % (Table Cell)
""'81.98242188","'81.98242188","'81.98242188",
"'89.20898438","'87.89062500","'89.94140625",
"'95.16601563","'93.79882813","'95.99609375",
"'92.33398438","'90.96679688","'93.11523438",
"'82.42187500","'81.20117188","'83.10546875",
"'87.25585938","'85.98632813","'87.98828125",
"'94.62890625","'93.21289063","'95.41015625",
"'94.58007813","'93.16406250","'95.36132813",
