"'Table and fruiting","'3-Cedrus, cedar:","'phenology of","'flowering",
"'Species","'Flowering","'Cone ripening","'Seed dispersal",
"'C. atlantica","'June-Sept","'Sept-Oct","'Fall-spring",
"'C. deodara","'Sept-Oct","'Sept-Nov","'Sept-Dec",
"'C. libani","'June-Sept","'Aug-Oct","'Fall-spring",
,,,

'Confidence Scores % (Table Cell)
""'87.45117188","'87.45117188","'87.45117188","'87.45117188",
"'85.44921875","'82.03125000","'85.00976563","'88.03710938",
"'47.21679688","'45.31250000","'46.97265625","'48.63281250",
"'44.26269531","'42.48046875","'44.04296875","'45.60546875",
"'43.89648438","'42.13867188","'43.67675781","'45.23925781",
