"'Table I-Sorbus, mountain-ash:","'nomenclature and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'S. americana Marsh. Pyrus americana DC.","'American mountain-ash, mountain-ash, small-fruited mountain-ash","'Newfoundland W to Manitoba, S to E Tennessee, N Georgia, & N South Carolina",
"'S. aucuparia L. Pyrus aucuparia (L.) Gaertn.","'European mountain-ash, rowan-tree, rowan","'Native of Eurasia; widely cultivated & naturalized across S Canada & N US, including California & SE Alaska",
"'S. decora (Sarg.) Schneid. Pyrus americana DC. var. decora Sarg. S. americana var. decora (Sarg.) Sarg Pyrus decora (Sarg.) Hyland","'showy mountain-ash, mountain-ash, large-fruited mountain-ash","'S Greenland to W Ontario, S to NE lowa, & E to New York",
"'S. scopulina Greene S. cascadensis G.N. Jones Pyrus scopulina (Greene) Longyear S. andersonii G.N. Jones","'Greene mountain-ash, western mountain-ash","'NW Alaska S & E to Saskatchewan, South Dakota, & New Mexico to central California",
"'S. sitchensis M. Roemer S. californica Greene Pyrus sitchensis (Roem.) Piper S. cascadensis G.N. Jones","'Sitka mountain-ash, Pacific mountain-ash, western mountain-ash, California mountain-ash","'Yukon to S Alaska S to central California & W Nevada; N to Idaho, W Montana, & Alberta",
,,

'Confidence Scores % (Table Cell)
"'87.30468750","'87.30468750","'87.30468750",
"'88.72070313","'86.76757813","'90.52734375",
"'91.35742188","'89.30664063","'93.21289063",
"'86.03515625","'84.13085938","'87.79296875",
"'88.47656250","'86.52343750","'90.28320313",
"'88.28125000","'86.27929688","'90.03906250",
"'94.09179688","'91.99218750","'95.99609375",
