"'Table I-Alnus, alder: nomenclature","'and occurrence (Continued)","'",
"'Scientific name(s) & synonyms","'Common name(s)","'Occurrence",
"'A. viridis (Vill.) Lam. & DC. A. ovata (Schr.) Lodd. Alnobetula (Ehrh.) K. Koch Betula viridis Vill.","'Sitka alder","'S Arctic subarctic, and N mountainous regions of North America & Asia",
"'A. viridis ssp. crispa (Ait.) Turrill A. crispa (Ait.) Pursh A. crispa var. elongata Raup. A. crispa var. harricanensiis Lepage A. crispa var. mollis (Fern.) Fern. A. crispa var. stragula Fern. A. mollis Fern. A. viridis var. crispa (Michx.) House A. alnobetula var. crispa (Michx.) Winkler Betula crispa (Ait.)","'American green alder, green alder, mountain alder","'Labrador to Alberta, S to Minnesota & New England",
"'A. viridis ssp. fruticosa (Rupr.) Nyman* A. fruticosa Rupr. A. viridis var. fruticosa (Rupr.) Reg.","'Siberian alder","'Alaska S to British Columbia & Alberta, disjunct populations in Washington, Oregon, & N California",
"'A. viridis ssp. sinuata (Regel) A. Löve & D. Löve A. crispa ssp. sinuata (Reg.) Hultén A. sinuata (Reg.) Rydb. A. sitchensis (Reg.) Sarg. A. viridis var. sinuata Reg.","'Sitka alder, mountain alder, wavyleaf alder","'Yukon & Alaska S to N California & W Montana; also in E Asia",
,,

'Confidence Scores % (Table Cell)
""'86.91406250","'86.91406250","'86.91406250",
"'90.08789063","'87.69531250","'90.96679688",
"'92.28515625","'89.84375000","'93.16406250",
"'92.91992188","'90.42968750","'93.79882813",
"'66.50390625","'64.69726563","'67.13867188",
"'84.03320313","'81.78710938","'84.81445313",
