Family,Genus,Species,Pollination,Phen.sequence,flo_time,fruiting,imputed_resp,name,pro2,pol,pro3,min._precip,min_temp
Smilaceae,Smilax,rotundifolia,insect,ser,6,10.5,Y,Smilax_rotundifolia,0,0,0,32,-33
Lauraceae,Lindera,benzoin,insect,pro,4,8,N,Lindera_benzoin,1,0,1,32,-23
Lauraceae,Sassafras,albidum,insect,syn,5,9.5,N,Sassafras_albidum,1,0,0,30,-27
Magnoliaceae,Liriodendron,tulipifera,insect,ser,5.5,9.5,N,Liriodendron_tulipifera,0,0,0,30,-18
Annonanceae,Asimina,triloba,insect,pro,5.5,9.5,N,Asimina_triloba,1,0,1,36,-27
Platanaceae,Platanus,occidentalis,wind,syn,5,10,N,Platanus_occidentalis,1,1,0,30,-35
Ranunculaceae,Clematis,virginiana,insect,ser,7.5,9,Y,Clematis_virginiana,0,0,0,32,-38
Hammamelidaceae,Liquidambar,styraciflua,wind,syn,4.5,12,N,Liquidambar_styraciflua,1,1,0,40,-21
Hammamelidaceae,Hamamelis,virginiana,insect,hyst,10.5,10.5,N,Hamamelis_virginiana,0,0,0,30,-28
Grossulariaceae,Ribes,lacustre,insect,ser,5.5,8,Y,Ribes_lacustre,0,0,0,8,-62
Grossulariaceae,Ribes,triste,insect,syn,5,7.5,N,Ribes_triste,1,0,0,9,-62
Grossulariaceae,Ribes,americanum,insect,ser,4.5,7.5,Y,Ribes_americanum,0,0,0,12,-46
Vitaceae,Parthenocissus,tricuspidata,insect,ser,6.5,10.5,Y,Parthenocissus_tricuspidata,0,0,0,35,-28
Vitaceae,Parthenocissus,quinquefolia,insect,ser,6.5,9.5,Y,Parthenocissus_quinquefolia,0,0,0,32,-28
Vitaceae,Vitis,aestivalis,insect,ser,5.5,9.5,Y,Vitis_aestivalis,0,0,0,30,-23
Vitaceae,Vitis,riparia,insect,ser,5.5,9.5,Y,Vitis_riparia,0,0,0,32,-33
Malvaceae,Tilia,americana,insect,ser,6.5,10,N,Tilia_americana,0,0,0,21,-46
Malvaceae,Tilia,cordata,insect,ser,6.5,10,N,Tilia_cordata,0,0,0,30,-33
Anacardiaceae,Rhus,glabra,insect,ser,6,9.5,N,Rhus_glabra,0,0,0,30,-33
Sapindaceae,Aesculus,glabra,insect,ser,4.5,10,N,Aesculus_glabra,0,0,0,30,-33
Sapindaceae,Acer,spicatum,insect,ser,6,7.5,N,Acer_spicatum,0,0,0,30,-47
Sapindaceae,Acer,platanoides,wind,pro/syn,5.5,9.5,N,Acer_platanoides,1,1,0,32,-28
Sapindaceae,Acer,pensylvanicum,insect,syn/ser,5.5,7.5,N,Acer_pensylvanicum,0,0,0,24,-47
Sapindaceae,Acer,negundo,wind,pro/syn,4.5,9.5,N,Acer_negundo,1,1,0,15,-46
Sapindaceae,Acer,saccharinum,wind,pro,3.5,5,N,Acer_saccharinum,1,1,1,20,-47
Sapindaceae,Acer,rubrum,wind,pro,4,5.5,N,Acer_rubrum,1,1,1,25,-47
Sapindaceae,Acer,saccharum,wind,syn,4.5,9.5,N,Acer_saccharum,1,1,0,22,-47
Simaroubaceae,Ailanthus,altissima,insect,ser,6,10,N,Ailanthus_altissima,0,0,0,14,-18
Rutaceae,Ptelea,trifoliata,insect,syn,6,9.5,N,Ptelea_trifoliata,1,0,0,30,-33
Celastraceae,Celastrus,scandens,insect,ser,4.5,9.5,Y,Celastrus_scandens,0,0,0,30,-38
Hypericaceae,Hypericum,prolificum,insect,ser,7.5,8.5,Y,Hypericum_prolificum,0,0,0,30,-28
Salicaceae,Populus,heterophylla,wind,pro,3.5,5.5,N,Populus_heterophylla,1,1,1,35,-23
Salicaceae,Populus,deltoides,wind,pro,4.5,5.5,N,Populus_deltoides,1,1,1,18,-43
Salicaceae,Populus,balsamifera,wind,pro,4.5,5.5,N,Populus_balsamifera,1,1,1,6,-79
Salicaceae,Populus,nigra,NA,pro,4.5,NA,N,Populus_nigra,1,1,1,20,-28
Salicaceae,Populus,grandidentata,wind,pro,4,5.5,N,Populus_grandidentata,1,1,1,20,-43
Salicaceae,Populus,tremuloides,wind,pro,3.5,5.5,N,Populus_tremuloides,1,1,1,7,-70
Salicaceae,Salix,humilis,ambo,pro,4,5,N,Salix_humilis,1,0,1,20,-43
Salicaceae,Salix,candida,ambo,pro/syn,5,6,N,Salix_candida,1,0,0,24,-33
Salicaceae,Salix,nigra,ambo,syn,4.5,6,N,Salix_nigra,1,0,0,18,-58
Salicaceae,Salix,alba,ambo,syn,4.5,5.5,N,Salix_alba,1,0,0,20,-33
Salicaceae,Salix,lucida,ambo,syn,5.5,6.5,N,Salix_lucida,1,0,0,30,-43
Salicaceae,Salix,discolor,ambo,pro,3.5,5.5,N,Salix_discolor,1,0,1,20,-33
Salicaceae,Salix,amygdaloides,ambo,syn,4,5,N,Salix_amygdaloides,1,0,0,24,-33
Salicaceae,Salix,interior,ambo,syn,4.5,6,N,Salix_interior,1,0,0,10,-62
Salicaceae,Salix,eriocephala,ambo,pro/syn,4.5,5.5,N,Salix_eriocephala,1,0,0,20,-38
Salicaceae,Salix,bebbiana,ambo,pro/syn,4.5,5.5,N,Salix_bebbiana,1,0,0,20,-4
Fagaceae,Fagus,grandifolia,wind,syn,4.5,9.5,N,Fagus_grandifolia,1,1,0,28,-44
Fagaceae,Castanea,dentata,ambo,ser,6.5,9.5,N,Castanea_dentata,0,0,0,35,-33
Fagaceae,Quercus,coccinea,wind,syn,5,19,N,Quercus_coccinea,1,1,0,30,-28
Fagaceae,Quercus,muehlenbergii,wind,syn,5.5,9.5,N,Quercus_muehlenbergii,1,1,0,20,-33
Fagaceae,Quercus,imbricaria,wind,syn,5,19,N,Quercus_imbricaria,1,1,0,24,-18
Fagaceae,Quercus,shumardii,wind,syn,5.5,19,N,Quercus_shumardii,1,1,0,25,-22
Fagaceae,Quercus,palustris,wind,syn,5,19,N,Quercus_palustris,1,1,0,32,-33
Fagaceae,Quercus,velutina,wind,syn,5,19,N,Quercus_velutina,1,1,0,30,-30
Fagaceae,Quercus,rubra,wind,syn,5.5,19,N,Quercus_rubra,1,1,0,30,-35
