"'Table I-Syringa, lilac: nomenclature","'and original occurrence","'","'","'",
"'Scientific name & synonyms","'Common name(s)","'Occurrence","'Height at maturity (m)","'Year first cultivated",
"'S. X persica L.","'Persian lilac","'Iran to NW China","'1.5-3.0","'1614",
"'S. reticulata ssp. amurensis (Rupr.) P.S. Greene & M.C. Chang","'Amur lilac, Manchurian lilac","'SE Siberia in Amur River region","'","'",
"'S. amurensis Rupr. S.reticulata var. mandschuria (Maxim.) Hara","'","'","'","'",
"'S. villosa Vahl. S. bretschneideri Lemoine","'late lilac, villous lilac","'N China to Himalayas","'3.0-3.9","'1882",
"'S. vulgaris L.","'common lilac","'SE Europe","'3.0-7.0","'1563",
,,,,

'Confidence Scores % (Table Cell)
"'75.43945313","'75.43945313","'75.43945313","'75.43945313","'75.43945313",
"'92.77343750","'89.59960938","'91.99218750","'89.94140625","'93.84765625",
"'61.03515625","'58.93554688","'60.54687500","'59.17968750","'61.76757813",
"'77.63671875","'75.00000000","'77.00195313","'75.29296875","'78.56445313",
"'36.10839844","'36.10839844","'36.10839844","'36.10839844","'36.10839844",
"'47.11914063","'45.50781250","'46.72851563","'45.70312500","'47.68066406",
"'69.18945313","'66.84570313","'68.65234375","'67.08984375","'70.01953125",
