"'Table 4-Amorpha,","'amorpha","'or indigobush:","'fruit and","'seed data","'","'","'","'",
"'","'","'Ripe fruit","'(x1,000)/wt","'","'","'Cleaned seed","'(x1,000)/wt","'",
"'","'Range","'","'Average","'","'Range","'","'Average","'",
"'Species","'/kg","'/lb","'/kg","'/lb","'/kg","'/lb","'/kg","'/lb",
"'A. californica","'-","'","'-","'-","'43-146","'19-66","'84","'38",
"'A. canescens","'194-233","'88-106","'211","'96","'598-651","'272-296","'624","'284",
"'A. fruticosa*","'81-205","'37-93","'114","'52","'158-180","'72-82","'170","'77",
"'A. nana","'","'","'133","'60","'","'","'-","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'96.04492188","'96.04492188","'96.04492188","'96.04492188","'96.04492188","'96.04492188","'96.04492188","'96.04492188","'96.04492188",
"'86.32812500","'92.18750000","'92.18750000","'92.18750000","'92.18750000","'93.01757813","'93.01757813","'93.01757813","'93.01757813",
"'86.32812500","'91.16210938","'91.16210938","'92.91992188","'92.91992188","'93.35937500","'93.35937500","'92.04101563","'92.04101563",
"'86.32812500","'82.27539063","'89.59960938","'88.13476563","'86.23046875","'88.86718750","'88.62304688","'87.20703125","'86.71875000",
"'91.79687500","'83.69140625","'91.11328125","'89.64843750","'87.74414063","'90.38085938","'90.13671875","'88.72070313","'88.18359375",
"'83.30078125","'75.97656250","'82.71484375","'81.39648438","'79.63867188","'82.03125000","'81.83593750","'80.51757813","'80.07812500",
"'85.05859375","'77.53906250","'84.47265625","'83.05664063","'81.29882813","'83.74023438","'83.54492188","'82.22656250","'81.73828125",
"'86.18164063","'78.56445313","'85.59570313","'84.17968750","'82.37304688","'84.86328125","'84.66796875","'83.30078125","'82.81250000",
