"'Table I-Amorpha, amorpha: nomenclature","'and occurrence","'",
"'Scientific name & synonym","'Common name(s)","'Occurrence",
"'A. californica Nutt.","'mock locust, false indigo, California amorpha","'California Coast Range from Sonoma & Napa Cos. S to Riverside Co.",
"'A. canescens Pursh","'leadplant, prairie shoestrings","'Michigan to Saskatchewan, S to Indiana, W to Arkansas & New Mexico; prairies in region",
"'A. fruticosa L.","'indigobush, false indigo","'S Quebec to N Manitoba, S to Florida & Mexico; S California & Wyoming",
"'A. nana Nutt. A. microphylla Pursh","'dwarf indigobush, fragrant false indigo","'Manitoba and Saskatchewan S to lowa & New Mexico",
,,

'Confidence Scores % (Table Cell)
""'89.30664063","'89.30664063","'89.30664063",
"'90.91796875","'89.50195313","'91.94335938",
"'82.51953125","'81.25000000","'83.49609375",
"'74.51171875","'73.38867188","'75.39062500",
"'77.63671875","'76.46484375","'78.56445313",
"'92.23632813","'90.82031250","'93.31054688",
