"'Table I -Castanea, chestnut:","'nomenclature and occurrence","'",
"'Scientific name","'Common name(s)","'Occurrence",
"'C. crenata Siebold & Zucc.","'Japanese chestnut","'Japan",
"'C. dentata (Marsh.) Borkh.","'American chestnut","'S Maine to Michigan; S to S Mississippi & Georgia",
"'C. mollissima Blume","'Chinese chestnut","'China & Korea",
"'C. pumila (L.) P. Mill.","'Allegheny chinkapin","'Pennsylvania S to central Florida & W to E Texas & Oklahoma",
"'C. sativa P. Mill.","'European chestnut, Spanish chestnut","'S Europe, W Asia, & N Africa",
,,

'Confidence Scores % (Table Cell)
""'87.01171875","'87.01171875","'87.01171875",
"'85.15625000","'81.93359375","'88.28125000",
"'45.11718750","'43.43261719","'46.77734375",
"'42.91992188","'41.30859375","'44.48242188",
"'48.41308594","'46.60644531","'50.19531250",
"'36.57226563","'35.20507813","'37.91503906",
"'40.84472656","'39.30664063","'42.35839844",
