"'Table 5-Carya,","'hickory:","'stratification period,","'germination","'test","'conditions,","'and results","'","'","'",
"'","'Cold","'","'Germination test","'conditions","'","'","'","'","'",
"'","'strati- fication","'","'Temp","'(C)","'","'Germination Rate","'","'Avg","'Germination %",
"'Species","'(days)","'Medium","'Day","'Night","'Days","'(%)","'Days","'(%)","'Samples",
"'C. alba","'90-150","'Sand, peat, soil","'30","'20","'93","'54","'64","'66","'4",
"'C. aquatica","'30-90","'Soil","'27-32","'21","'63","'76","'28","'92","'I",
"'C. cordiformis","'90","'Sand, peat, soil","'30","'20","'250","'40","'30","'55","'3",
"'","'90","'Soil","'27","'21","'50","'60","'50","'60","'I",
"'C. glabra","'90-120","'Sand, peat, soil","'30","'20","'30-45","'-","'","'85","'2",
"'C. illinoensis","'30-90","'Sand, peat","'30","'20","'45-60","'-","'","'50","'9",
"'","'30-90","'Kimpak","'30*","'20","'60","'80","'33","'91","'6",
"'","'30","'Soil","'32","'21","'35-97","'-","'","'75","'2",
"'C. laciniosa","'90-120","'Sand, peat, soil","'30","'20","'45-60","'-","'-","'-","'-",
"'C. myristiciformis","'60-120","'Kimpak","'30*","'20","'60","'53","'50","'60","'2",
"'C. ovata","'90-150","'Sand, peat","'30","'20","'45-60","'75","'40","'80","'6",
"'","'60-120","'Kimpak","'30*","'20","'60","'65","'35","'73","'2",
,,,,,,,,,

'Confidence Scores % (Table Cell)
""'82.95898438","'82.95898438","'82.95898438","'82.95898438","'82.95898438","'82.95898438","'82.95898438","'82.95898438","'82.95898438","'82.95898438",
"'78.46679688","'83.34960938","'94.28710938","'94.28710938","'94.28710938","'94.28710938","'93.75000000","'93.75000000","'94.23828125","'94.23828125",
"'78.46679688","'83.34960938","'53.71093750","'52.24609375","'52.24609375","'58.98437500","'32.71484375","'31.64062500","'32.81250000","'33.37402344",
"'78.46679688","'83.34960938","'53.71093750","'85.64453125","'86.42578125","'58.98437500","'87.98828125","'85.05859375","'88.18359375","'89.74609375",
"'91.35742188","'86.81640625","'91.40625000","'87.45117188","'88.23242188","'88.42773438","'89.84375000","'86.86523438","'90.03906250","'91.60156250",
"'86.08398438","'81.78710938","'86.13281250","'82.42187500","'83.15429688","'83.34960938","'84.61914063","'81.83593750","'84.86328125","'86.32812500",
"'45.70312500","'72.21679688","'76.02539063","'72.75390625","'73.38867188","'73.58398438","'74.70703125","'72.26562500","'74.90234375","'76.22070313",
"'45.70312500","'66.50390625","'70.01953125","'67.04101563","'67.62695313","'67.77343750","'68.84765625","'66.55273438","'68.99414063","'70.21484375",
"'90.13671875","'85.64453125","'90.18554688","'86.27929688","'87.06054688","'87.25585938","'88.62304688","'85.69335938","'88.86718750","'90.38085938",
"'52.14843750","'78.32031250","'82.42187500","'78.90625000","'79.58984375","'79.78515625","'81.00585938","'78.36914063","'81.25000000","'82.66601563",
"'52.14843750","'71.82617188","'75.58593750","'72.36328125","'72.99804688","'73.14453125","'74.31640625","'71.87500000","'74.51171875","'75.78125000",
"'52.14843750","'71.14257813","'74.90234375","'71.67968750","'72.31445313","'72.46093750","'73.58398438","'71.19140625","'73.77929688","'75.09765625",
"'87.30468750","'82.95898438","'87.35351563","'83.59375000","'84.32617188","'84.52148438","'85.83984375","'83.00781250","'86.03515625","'87.54882813",
"'90.13671875","'85.64453125","'90.18554688","'86.27929688","'87.06054688","'87.25585938","'88.62304688","'85.69335938","'88.86718750","'90.38085938",
"'47.07031250","'68.45703125","'72.07031250","'68.94531250","'69.58007813","'69.72656250","'70.80078125","'68.50585938","'70.99609375","'72.26562500",
"'47.07031250","'60.54687500","'63.76953125","'61.03515625","'61.57226563","'61.71875000","'62.64648438","'60.59570313","'62.84179688","'63.91601563",
