"'Table 10-Pinus,",'pine:,'seed,'germination test,'conditions,'and results,',',',','
',',','Germination,'test,'condition,',','Germinative,'energy,'
','Seeds,'Daily light,'Seed,'Temp,'(C)*,','Rate amt,'Time,'Total (mean,'
'Species,'treated,'(hr),'medium,'Light,'Dark,'Days,'(%),'(days),'%),'Samples
'P. albicaulis,'+,'8,"'A, P",'30,'20,'28,'-,',','
','+,'0,"'pe, S",'21,'10,'365,',','30,'2
'P. aristata,','0,"'A, P",'30,'20,'14,',',','
',','24,'P,'32,'21,'22,'75,'7,'91,'74
',','0,"'pe, S",'35,'20,'30,'-,'-,'86,'>7
'P. arizonica,','0,"'P, pl",'-,'24,'20,'52,'10,'75,'8
'P. attenuata,'+,'24,"'A, P",'22,'26,'30,'79,'5,'92,'I
',','8,'S,'30,'20,'120,'69,'10,'85,'4
'P. banksiana,','8,"'A, P",'30,'20,'14,'86,'10,'87,'14
','+ t,'8,'S,'30,'20,'8,'54,'5,'69,'29
',','8,'S,'30,'20,'23,'72,'9,'75,'6
'P. canariensis,'+,'0,'A,'-,'20,'28,'58,'20,'74,'9
',','8,'A,'20,'20,'21,'63,'7,'76,'4
'P. caribaea,','>8,'P,'30,'20,'21,',','72,'3
'P. cembra,'+,'0,"'P, S",'30,'20,'28,',',','
','+,'0,'A,'30,'20,'90,'21-42,'17-37,'37,'8
','+,'0,'S,'22,'20,'60,'55,'28,'62,'I
'P. cembroides,','0,"'B, P",'-,'20,'28,'-,',','
'P. clausa,','8,'K,'20,'20,'21,'86,'14,'90,'19
',','8,'S + V,'21,'16-18,'30,'85,'20,'90,'
'P. contorta var. contorta,'+,'>8,"'A, P, v",'30,'20,'28,',','60,'3
',','0,"'pe, S",'30,'20,'50,',','80,'29
'var. latifolia,'+,'8,"'A, P",'30,'20,'21,'73,'10,'80,'10
','+,'0,'S,'28,'14,'62,',','73,'9
','-t,'0,'S,'28,'14,'62,',','65,'12
'var. murrayana,','10,'S,'26,'26,'30,',','75,'3
'P. coulteri,'+,'0,"'P, S",'30,'20,'28,',',','
','+,'8,"'S, V",'30,'20,'28,',','37,'7
'P. densiflora,','8,"'A, P",'30,'20,'21,'-,',','
',','0,'S,'30,'20,'30,'75,'15,'87,'3
','+,'0,'S,'30,'20,'24-60,'54,'15,'83,'4
',','0,'A,'-,'24,'30,',','74,'20
'P. echinata,','>8,"'A, P",'30,'20,'28,'-,',','
',','8,'S V,'22,'22,'28,'88,'14,'90,'139
','+,'8,'pl + S,'22,'22,'27,'81,'10,'90,'148
'P. edulis,'+,'0,'A,'30,'20,'28,',',','
','+,'0,'P,'32,'21,'16,'80,'7,'96,'4
'P. elliottii,',',',',',',',',','
'var. densa,','>8,'S + V,'22,'22,'32,'30-79,'7-11,'32-82,'30
',','16,'K,'22,'22,'28,'86,'7,'87,'28
'var. elliotti,','>8,"'A, P",'30,'20,'28,'-,',','
',','16,'K,'22,'22,'26,'80,'10,'89,'392
','+,'16,'K,'22,'22,'26,'75,'9,'84,'83
'P. engelmannii,','0,'P,'32,'21,'16,'70,'4,'88,'4
'P. flexilis,'+,'0,"'B, P",'30,'20,'21,',',','
','+,'8,'A,'30,'20,'21,',',','
',','8,'S + V,'22,'22,'27,'-,','42,'I
','+,'8,'A,'30,'20,'30,'69,'14,'82,'I
'P. gerardiana,','0,'A,'-,'21,'30-60,',','47,'2
'P. glabra,'+,'8,"'A, P",'30,'20,'21,'-,'-,','
','+,'16,'S V,'22,'22,'30,'85,'13,'98,'25
',','16,'s+v,'22,'22,'30,'46,'30,'98,'30
'P. halepensis,','0,"'A, P",','20,'28,',',','
',','0,'A,','20-22,'30,'50-66,'20,'79,'5
',','0,'A,'-,'18-19,'30,'65-80,'16-20,'89,'12
',',',',',',',',',','
,,,,,,,,,,
,,,,,,,,,,
'Confidence Scores % (Table Cell),,,,,,,,,,
'44.16503906,'44.16503906,'44.16503906,'44.16503906,'44.16503906,'44.16503906,'44.16503906,'44.16503906,'44.16503906,'44.16503906,'44.16503906
'63.72070313,'71.14257813,'74.31640625,'74.31640625,'74.31640625,'74.31640625,'74.31640625,'89.40429688,'89.40429688,'89.40429688,'89.40429688
'63.72070313,'71.14257813,'83.64257813,'93.65234375,'58.88671875,'58.88671875,'61.32812500,'94.48242188,'95.01953125,'61.23046875,'37.52441406
'63.72070313,'71.14257813,'83.64257813,'93.65234375,'83.20312500,'81.34765625,'61.32812500,'94.48242188,'95.01953125,'61.23046875,'37.52441406
'46.28906250,'66.50390625,'79.88281250,'88.62304688,'89.50195313,'87.50000000,'84.08203125,'89.11132813,'88.76953125,'82.86132813,'88.62304688
'46.28906250,'59.22851563,'71.14257813,'78.90625000,'79.68750000,'77.92968750,'74.90234375,'79.39453125,'79.05273438,'73.77929688,'78.90625000
'47.16796875,'42.26074219,'60.00976563,'66.60156250,'67.23632813,'65.72265625,'63.18359375,'66.99218750,'66.69921875,'62.25585938,'66.60156250
'47.16796875,'42.26074219,'79.54101563,'88.23242188,'89.11132813,'87.10937500,'83.74023438,'88.76953125,'88.37890625,'82.51953125,'88.23242188
'47.16796875,'42.26074219,'75.14648438,'83.34960938,'84.17968750,'82.27539063,'79.10156250,'83.83789063,'83.49609375,'77.92968750,'83.34960938
'72.90039063,'67.08984375,'80.61523438,'89.40429688,'90.28320313,'88.23242188,'84.81445313,'89.89257813,'89.55078125,'83.59375000,'89.40429688
'45.43457031,'66.16210938,'79.44335938,'88.13476563,'88.96484375,'86.96289063,'83.59375000,'88.62304688,'88.23242188,'82.37304688,'88.13476563
'45.43457031,'64.55078125,'77.49023438,'85.98632813,'86.81640625,'84.86328125,'81.59179688,'86.47460938,'86.13281250,'80.41992188,'85.98632813
'57.76367188,'64.16015625,'77.05078125,'85.49804688,'86.32812500,'84.37500000,'81.10351563,'85.98632813,'85.59570313,'79.93164063,'85.49804688
'57.76367188,'64.69726563,'77.73437500,'86.23046875,'87.06054688,'85.10742188,'81.83593750,'86.71875000,'86.37695313,'80.61523438,'86.23046875
'57.76367188,'59.57031250,'71.53320313,'79.34570313,'80.12695313,'78.32031250,'75.29296875,'79.78515625,'79.44335938,'74.16992188,'79.34570313
