',',',',',',',',','
',','Germination,'test condition,',',','Germinative,'energy,'
'Seeds,'Daily light,'Seed,'Temp,'(C)*,','Rate amt,'Time,'Total (mean,'
'Species treated,'(hr),'medium,'Light,'Dark,'Days,'(%),'(days),'%),'Samples
P. heldreichii +,'8,"'A, P",'30,'20,'28,',',','
'+,'8,'A,'30,'20,'40,',','72,'14
',','A,'-,'21,'40,',','69,'I
'P. jeffreyi +,'8,"'A, P, S",'30,'20,'28,',',','
'+,'24,'P,'22,'26,'30,'95,'5,'99,'I
','0,'V,'30,'20,'21,'-,'-,'79,'5
'P. kesiya,'8,'A,'30,'20,'28,'82,'14,'86,'I
'P. koraiensis +,'0,'S,'30,'20,'60,'14,'25,'18,'I
'+,'>8,'P,'30,'20,'28,'-,','85-95,'4
'P. lambertiana +,'0,"'P, S",'30,'20,'28,',',','
'+,','V,'30,'20,'28,'-,','59,'5
'+,'24,"'P, S",'22,'26,'30,'49,'21,'55,'I
'P. leiophylla var. chihuahuana,'0,'pl,'-,'24,'22,'60,'6,'70,'3
'P. merkusii,'8,'A,'30,'20,'21,',','59,'I
','8,'A,'20,'20,'21,',','67,'I
'P. monophylla,'24,'pl,'75,'21,'35,'39-50,'7,'86-90,'2
'P. monticola +,'0,"'P, s",'30,'20,'28,',',','
'+,'8,'pl + S,'22,'22,'71,'39,'II,'44,'II
'P. mugo,'8,"'A, P",'30,'20,'14-21,',',','
','0,'A,'-,'20,'30,'25,'10,'45,'30
','8,'A,'30,'20,'20,'76,'10,'80,'30
'P. muricata,'0,'A,'30,'20,'35,',',','
'+,'0,'V,'30,'20,'21,'-,'-,'38,'5
'+,'24,'P,'22-26,'-,'30,'70,'7,'85,'I
'P. nigra,'8,"'A, P",'30,'20,'14,'91,'10,'92,'49
','0,'A,'30,'20,'30,'54,'10,'86,'49
'P. palustris,'16,'P,'20,'20,'21,'-,',','
','16,'S V,'22,'22,'30,'90,'10,'95,'100
'P. parviflora,'0,'P,'22,'18,'10-14,',',','
'+,'8,'S,'30,'20,'28,'71,'35,','
'+,'>8,'A,'25,'25,'28,',','80,'
'P. peuce +,'0,'S,'30,'20,'28,',',','
','0,'A,'20,'22,'30,',','69,'4
'P. pinaster,'8,'A,'20,'20,'35,'-,',','
'+,'8,"'A, P",'20,'20,'28,'41,'7,'79,'8
'+,'0,'A,','20,'30,'70,'20,'83,'5
'P. pinea +,'0,'S,','20,'21,'-,','-,'
'+,'8,'A,'20,'20,'21,'30,'7,'81,'4
','0,'A,'-,'18,'22,'88,'14,'98,'3
'P. ponderosa var. ponderosa +,'8,'A,'30,'20,'21,',',','
'+,'>8,'A,'30,'20,'21,',','67,'100
','0,"'pe, S",'29,'18,'30-60,'14-87,'7-29,'59,'186
'var. scopulorum,'16,'K,'22,'22,'30,'84,'II,'86,'4
','0,'S,'20,'30,'30-60,'50,'19,'64,'40
'P. pumila +,'>8,'A,'30,'20,'21,','-,'77,'9
'P. pungens,'0,'pe + S,','21-29,'45-60,',','55,'3
','0,"'pe, S",'-,'24,'40,',','65,'9
'P. quadrifolia +,'24,'A,'22-26,','30,'46,'9,'69,'I
'P. radiata +,'8,'A,'30,'20,'28,',','-,'-
','>8,'P,'20,'20,'25,'16,'7,'81,'9
','>8,'V,'30,'20,'28,','-,'67,'15
'P. resinosa,'0,"'A, P",'30,'20,'14,'69,'10,'83,'23
','0,'S,'30,'20,'30,'25-75,'7-25,'75,'551
'P. rigida,'8,"'A, P",'30,'20,'14,'77,'10,'86,'6
'+,'0,'A,'30,'20,'30,'24,'10,'47,'6
','8,'A,'30,'20,'45,'60,'18,'70,'19
',',',',',',',',','
,,,,,,,,,
,,,,,,,,,
'Confidence Scores % (Table Cell),,,,,,,,,
'51.85546875,'51.85546875,'51.85546875,'51.85546875,'51.85546875,'51.85546875,'51.85546875,'51.85546875,'51.85546875,'51.85546875
'40.11230469,'75.68359375,'75.68359375,'75.68359375,'75.68359375,'75.68359375,'85.74218750,'85.74218750,'85.74218750,'85.74218750
'40.11230469,'83.39843750,'94.14062500,'58.30078125,'58.30078125,'69.33593750,'92.43164063,'94.53125000,'58.05664063,'38.91601563
'40.11230469,'83.39843750,'94.14062500,'85.83984375,'81.98242188,'69.33593750,'92.43164063,'94.53125000,'58.05664063,'38.91601563
'37.28027344,'78.22265625,'88.62304688,'90.03906250,'86.03515625,'85.35156250,'87.54882813,'88.67187500,'84.37500000,'87.93945313
'33.98437500,'71.28906250,'80.76171875,'82.08007813,'78.41796875,'77.78320313,'79.78515625,'80.81054688,'76.90429688,'80.12695313
'32.88574219,'68.99414063,'78.17382813,'79.44335938,'75.87890625,'75.24414063,'77.24609375,'78.22265625,'74.41406250,'77.53906250
'40.06347656,'70.11718750,'79.44335938,'80.71289063,'77.09960938,'76.51367188,'78.46679688,'79.49218750,'75.63476563,'78.80859375
'40.06347656,'76.17187500,'86.27929688,'87.69531250,'83.78906250,'83.10546875,'85.25390625,'86.32812500,'82.12890625,'85.59570313
'40.06347656,'69.72656250,'79.00390625,'80.27343750,'76.66015625,'76.07421875,'78.02734375,'79.00390625,'75.19531250,'78.36914063
'37.32910156,'78.32031250,'88.76953125,'90.18554688,'86.18164063,'85.44921875,'87.69531250,'88.81835938,'84.47265625,'88.08593750
'41.30859375,'72.26562500,'81.88476563,'83.25195313,'79.49218750,'78.85742188,'80.90820313,'81.93359375,'77.97851563,'81.25000000
'41.30859375,'71.33789063,'80.85937500,'82.17773438,'78.51562500,'77.88085938,'79.88281250,'80.90820313,'76.95312500,'80.22460938
'42.06542969,'73.33984375,'83.10546875,'84.42382813,'80.66406250,'80.02929688,'82.08007813,'83.15429688,'79.10156250,'82.42187500
'42.06542969,'71.63085938,'81.20117188,'82.47070313,'78.80859375,'78.17382813,'80.22460938,'81.20117188,'77.29492188,'80.56640625
'42.06542969,'75.97656250,'86.13281250,'87.50000000,'83.59375000,'82.91015625,'85.05859375,'86.13281250,'81.98242188,'85.44921875
