'42.06542969,'79.15039063,'89.64843750,'91.11328125,'87.06054688,'86.32812500,'88.57421875,'89.69726563,'85.35156250,'88.96484375
'42.06542969,'71.63085938,'81.20117188,'82.47070313,'78.80859375,'78.17382813,'80.22460938,'81.20117188,'77.29492188,'80.56640625
'42.06542969,'73.43750000,'83.25195313,'84.57031250,'80.81054688,'80.12695313,'82.22656250,'83.30078125,'79.24804688,'82.56835938
'36.59667969,'76.75781250,'86.96289063,'88.37890625,'84.42382813,'83.74023438,'85.93750000,'87.01171875,'82.81250000,'86.27929688
'33.88671875,'71.09375000,'80.51757813,'81.83593750,'78.17382813,'77.53906250,'79.58984375,'80.56640625,'76.66015625,'79.93164063
'35.08300781,'73.63281250,'83.39843750,'84.76562500,'80.95703125,'80.32226563,'82.42187500,'83.44726563,'79.39453125,'82.76367188
'55.37109375,'68.21289063,'77.29492188,'78.56445313,'75.04882813,'74.41406250,'76.36718750,'77.34375000,'73.58398438,'76.70898438
'55.37109375,'73.97460938,'83.83789063,'85.20507813,'81.39648438,'80.71289063,'82.81250000,'83.88671875,'79.78515625,'83.15429688
'55.37109375,'73.14453125,'82.86132813,'84.22851563,'80.46875000,'79.78515625,'81.88476563,'82.91015625,'78.90625000,'82.22656250
'48.04687500,'66.84570313,'75.73242188,'76.95312500,'73.53515625,'72.94921875,'74.85351563,'75.78125000,'72.11914063,'75.14648438
'48.04687500,'67.52929688,'76.51367188,'77.78320313,'74.26757813,'73.68164063,'75.58593750,'76.56250000,'72.85156250,'75.92773438
'48.04687500,'72.16796875,'81.78710938,'83.10546875,'79.39453125,'78.75976563,'80.81054688,'81.83593750,'77.83203125,'81.15234375
'49.51171875,'65.13671875,'73.77929688,'75.00000000,'71.63085938,'71.04492188,'72.90039063,'73.82812500,'70.21484375,'73.19335938
'49.51171875,'72.75390625,'82.47070313,'83.78906250,'80.02929688,'79.39453125,'81.44531250,'82.51953125,'78.51562500,'81.78710938
'47.65625000,'51.07421875,'57.86132813,'58.78906250,'56.15234375,'55.71289063,'57.12890625,'57.86132813,'55.07812500,'57.37304688
'47.65625000,'69.92187500,'79.19921875,'80.51757813,'76.90429688,'76.26953125,'78.27148438,'79.24804688,'75.39062500,'78.61328125
'45.23925781,'53.12500000,'60.20507813,'61.18164063,'58.44726563,'58.00781250,'59.52148438,'60.25390625,'57.32421875,'59.76562500
'45.23925781,'70.01953125,'79.34570313,'80.61523438,'77.05078125,'76.41601563,'78.41796875,'79.39453125,'75.53710938,'78.71093750
'45.23925781,'65.72265625,'74.46289063,'75.68359375,'72.26562500,'71.72851563,'73.58398438,'74.51171875,'70.89843750,'73.87695313
'45.89843750,'71.63085938,'81.20117188,'82.47070313,'78.80859375,'78.17382813,'80.22460938,'81.20117188,'77.29492188,'80.56640625
'45.89843750,'68.45703125,'77.58789063,'78.80859375,'75.29296875,'74.70703125,'76.66015625,'77.58789063,'73.82812500,'76.95312500
'47.65625000,'65.57617188,'74.26757813,'75.48828125,'72.11914063,'71.53320313,'73.38867188,'74.31640625,'70.70312500,'73.68164063
'47.65625000,'69.18945313,'78.36914063,'79.63867188,'76.12304688,'75.48828125,'77.44140625,'78.41796875,'74.60937500,'77.78320313
'47.65625000,'71.14257813,'80.61523438,'81.93359375,'78.27148438,'77.63671875,'79.63867188,'80.66406250,'76.75781250,'79.98046875
'47.75390625,'72.02148438,'81.59179688,'82.91015625,'79.19921875,'78.56445313,'80.61523438,'81.64062500,'77.68554688,'80.95703125
'47.75390625,'69.97070313,'79.24804688,'80.56640625,'76.95312500,'76.31835938,'78.32031250,'79.29687500,'75.43945313,'78.66210938
'47.75390625,'75.73242188,'85.79101563,'87.15820313,'83.30078125,'82.61718750,'84.76562500,'85.83984375,'81.68945313,'85.10742188
'42.16308594,'63.08593750,'71.48437500,'72.65625000,'69.38476563,'68.84765625,'70.65429688,'71.53320313,'68.06640625,'70.94726563
'42.16308594,'64.11132813,'72.65625000,'73.82812500,'70.50781250,'69.97070313,'71.77734375,'72.65625000,'69.14062500,'72.07031250
'42.16308594,'71.33789063,'80.85937500,'82.17773438,'78.51562500,'77.88085938,'79.88281250,'80.90820313,'76.95312500,'80.22460938
'42.16308594,'75.24414063,'85.25390625,'86.62109375,'82.76367188,'82.08007813,'84.22851563,'85.30273438,'81.15234375,'84.57031250
'42.16308594,'70.60546875,'79.98046875,'81.29882813,'77.63671875,'77.00195313,'79.05273438,'80.02929688,'76.17187500,'79.34570313
'37.57324219,'78.85742188,'89.35546875,'90.82031250,'86.71875000,'86.03515625,'88.28125000,'89.40429688,'85.05859375,'88.67187500
'45.23925781,'67.67578125,'76.66015625,'77.88085938,'74.41406250,'73.82812500,'75.73242188,'76.70898438,'72.99804688,'76.07421875
'45.23925781,'60.44921875,'68.50585938,'69.58007813,'66.50390625,'65.96679688,'67.67578125,'68.50585938,'65.18554688,'67.96875000
'37.74414063,'79.19921875,'89.74609375,'91.21093750,'87.15820313,'86.42578125,'88.67187500,'89.79492188,'85.44921875,'89.06250000
'40.91796875,'48.19335938,'54.58984375,'55.46875000,'53.02734375,'52.58789063,'53.95507813,'54.63867188,'52.00195313,'54.19921875
'40.91796875,'67.33398438,'76.26953125,'77.53906250,'74.07226563,'73.48632813,'75.39062500,'76.31835938,'72.60742188,'75.68359375
'40.91796875,'70.84960938,'80.27343750,'81.54296875,'77.92968750,'77.29492188,'79.29687500,'80.32226563,'76.41601563,'79.63867188
'41.40625000,'65.67382813,'74.41406250,'75.63476563,'72.26562500,'71.67968750,'73.53515625,'74.46289063,'70.84960938,'73.82812500
'41.40625000,'71.82617188,'81.39648438,'82.71484375,'79.00390625,'78.36914063,'80.41992188,'81.44531250,'77.49023438,'80.76171875
'41.21093750,'64.89257813,'73.48632813,'74.70703125,'71.33789063,'70.80078125,'72.60742188,'73.53515625,'69.97070313,'72.94921875
'41.21093750,'69.48242188,'78.75976563,'80.02929688,'76.46484375,'75.83007813,'77.83203125,'78.80859375,'74.95117188,'78.12500000
'41.21093750,'72.94921875,'82.66601563,'84.03320313,'80.27343750,'79.63867188,'81.68945313,'82.71484375,'78.71093750,'82.03125000
'37.01171875,'37.01171875,'37.01171875,'37.01171875,'37.01171875,'37.01171875,'37.01171875,'37.01171875,'37.01171875,'37.01171875
