"'Table 4-Nyssa,","'tupelo:","'germination test","'conditions","'and","'results on","'stratified","'seeds","'","'","'",
"'","'Daily","'Germination","'test","'conditions","'","'Germination","'rate","'","'Germination %","'",
"'","'light","'","'Temp","'(C)","'","'Amt","'","'Avg","'","'Purity",
"'Species","'(hr)","'Medium","'Day","'Night","'Days","'(%)","'Days","'(%)","'Samples","'(%)",
"'N. aquatica","'8","'Kimpak","'30","'20","'27","'87","'18","'97","'5","'100",
"'","'0","'Water in petri dish","'29","'29","'28","'57","'14","'79","'24","'-",
"'N. biflora","'ND","'Sand","'-","'","'60","'-","'-","'51","'-","'-",
"'N. ogeche","'8","'Kimpak","'30","'20","'70","'69","'12","'85","'I","'-",
"'N. sylvatica var. sylvatica","'8","'Kimpak","'30","'20","'27","'-","'-","'71","'8","'99",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
"'96.19140625","'96.19140625","'96.19140625","'96.19140625","'96.19140625","'96.19140625","'96.19140625","'96.19140625","'96.19140625","'96.19140625","'96.19140625",
"'92.52929688","'90.57617188","'91.25976563","'91.25976563","'91.25976563","'91.25976563","'91.50390625","'91.50390625","'69.58007813","'69.58007813","'81.15234375",
"'92.52929688","'90.57617188","'84.32617188","'57.37304688","'57.37304688","'60.69335938","'92.87109375","'95.65429688","'89.89257813","'94.14062500","'81.15234375",
"'92.52929688","'90.57617188","'84.32617188","'68.21289063","'75.09765625","'60.69335938","'92.87109375","'95.65429688","'89.89257813","'94.14062500","'81.15234375",
"'61.32812500","'72.26562500","'83.34960938","'72.94921875","'80.27343750","'77.63671875","'81.44531250","'80.81054688","'77.39257813","'81.54296875","'81.20117188",
"'61.32812500","'69.77539063","'80.51757813","'70.45898438","'77.49023438","'75.00000000","'78.66210938","'78.02734375","'74.75585938","'78.75976563","'78.41796875",
"'82.08007813","'72.60742188","'83.74023438","'73.24218750","'80.61523438","'78.02734375","'81.83593750","'81.15234375","'77.78320313","'81.93359375","'81.59179688",
"'82.66601563","'73.09570313","'84.27734375","'73.77929688","'81.15234375","'78.56445313","'82.37304688","'81.73828125","'78.27148438","'82.47070313","'82.12890625",
"'91.99218750","'81.34765625","'93.84765625","'82.12890625","'90.38085938","'87.45117188","'91.74804688","'90.96679688","'87.15820313","'91.79687500","'91.45507813",
