"'","'small-flower pawpaw","'pawpaw",
"'Cleaned seeds/wt","'2,860/kg (1,300/lb)","'1,540/kg per (700/lb)",
"'Purity (%)","'98","'100",
"'Sound seeds (%)","'94","'96",
,,

'Confidence Scores % (Table Cell)
""'64.59960938","'64.59960938","'88.91601563",
"'75.29296875","'73.92578125","'80.85937500",
"'81.34765625","'79.88281250","'87.35351563",
"'84.47265625","'82.91015625","'90.67382813",
