"'Table 4-Malus,","'apple: effects","'of cold","'stratification","'and","'germination test","'conditions on","'germination results","'",
"'","'Cold","'","'Germination","'conditions","'","'","'","'",
"'","'stratification","'Temp","'(C)","'","'Germinative","'energy","'Germinative","'",
"'Species","'(days)","'Day","'Night","'Days","'%","'days","'capacity (%)","'Samples",
"'M. bacatta","'30","'30","'20","'30","'48","'8","'54","'2",
"'M. coronaria","'120","'10","'10","'30","'93","'19","'96","'I",
"'M. fusca","'90","'","'","'","'","'","'","'",
"'M. floribunda","'60-120","'","'","'","'","'","'","'",
"'M. ioensist","'60","'30","'20","'10","'48","'4","'58","'I",
"'M. pumila","'60","'30","'20","'60","'","'","'65","'|+",
"'M. X robusta","'60-120","'","'","'","'","'","'","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
"'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688","'96.43554688",
"'72.26562500","'82.42187500","'87.74414063","'87.74414063","'87.74414063","'88.62304688","'88.62304688","'86.66992188","'71.04492188",
"'72.26562500","'82.42187500","'83.88671875","'83.88671875","'66.99218750","'88.62304688","'88.62304688","'86.66992188","'71.04492188",
"'72.26562500","'82.42187500","'81.44531250","'88.86718750","'66.99218750","'88.23242188","'87.84179688","'86.66992188","'71.04492188",
"'83.59375000","'83.20312500","'77.05078125","'84.08203125","'82.47070313","'83.44726563","'83.10546875","'85.98632813","'83.39843750",
"'80.22460938","'79.83398438","'73.97460938","'80.66406250","'79.15039063","'80.07812500","'79.73632813","'82.51953125","'80.02929688",
"'83.78906250","'83.39843750","'77.24609375","'84.22851563","'82.66601563","'83.64257813","'83.30078125","'86.18164063","'83.59375000",
"'76.70898438","'76.36718750","'70.70312500","'77.14843750","'75.68359375","'76.56250000","'76.26953125","'78.90625000","'76.56250000",
"'83.93554688","'83.54492188","'77.39257813","'84.42382813","'82.81250000","'83.83789063","'83.49609375","'86.37695313","'83.78906250",
"'76.22070313","'75.87890625","'70.31250000","'76.66015625","'75.19531250","'76.12304688","'75.83007813","'78.41796875","'76.07421875",
"'89.89257813","'89.50195313","'82.91015625","'90.42968750","'88.72070313","'89.79492188","'89.40429688","'92.52929688","'89.74609375",
