"'Table I-Pinus,","'pine:","'nursery","'practices","'","'","'","'","'",
"'","'","'Seed","'sowing","'Seedbed","'mulch","'Planting","'stock","'",
"'Species","'Seed chill (days)","'Season","'Density+ (/ft2)","'Depth (mm)","'Material","'Depth (mm)","'Yield (%)","'Types",
"'P. attenuata","'60","'Spring","'25","'10","'None","'","'80","'1+0",
"'P. banksiana","'0","'Fall or","'30","'6","'None","'","'50-60","'+0,2+0, 1/2+11/2,",
"'","'","'spring","'","'","'","'","'","'1+1,1+2",
"'P. canariensis","'0","'Spring","'","'6","'Sponge Rok","'6-13","'35-50","'1+0,2+0, 1/2+11/2",
"'P. clausa","'0","'Spring","'-","'6-13","'None","'","'70","'1+0",
"'P. contorta var. contorta","'28","'Spring","'30","'3","'None","'-","'48","'1+0",
"'var. latifolia","'28-35","'Spring","'48","'3","'Sawdust","'13","'60","'2+0",
"'var. murrayana","'30-60","'Spring","'25-60","'10","'Peat mossll","'6-13","'70-75","'1+0,2+0",
"'P. coulteri","'60","'Spring","'25","'13","'None","'-","'80","'1+0",
"'P. densiflora","'0","'Spring","'50","'3-6","'Sand","'-","'-","'2+0, 3+0, |+|",
"'P. echinata","'15-60","'Spring","'40","'Press","'Pine straw","'-","'60","'1+0",
"'P. edulis","'60","'Spring","'30","'6","'Sawdust","'13","'80","'2+0",
"'P. elliottii","'","'","'","'","'","'","'","'",
"'var. densa","'0","'Spring","'35","'Press","'Pine straw","'13","'80","'1+0",
"'var. elliotti","'0","'Spring","'30-35","'Press","'Sawdust or pine straw","'-","'58-74","'1+0",
"'P. jeffreyi","'28-60","'Spring","'25-30","'6-10","'None","'-","'58-80","'1+0, 2+0,",
"'P. kesiya","'0","'Spring","'30","'10","'None","'-","'50","'1+0",
"'P. lambertiana","'90","'Spring","'30-35","'10-13","'None","'-","'21-80","'1+0, 2+0, |+|",
"'P. monophylla","'90","'Spring","'25-30","'13","'Sawdust","'6-13","'33","'2+0",
"'P. monticola","'42-90","'Spring","'35-120","'6-10","'Sawdust II","'6-13","'32-90","'2+0, 3+0",
"'P. mugo","'40-50","'Spring","'50","'10","'Peat moss","'6-13","'55","'3+0",
"'P. muricata","'28-40","'Spring","'30-75","'3-19","'Peat moss Il","'6-13","'37-60","'1+0",
"'P. nigra","'0","'Fall","'50-60","'13-19","'Peat moss","'6-13","'60-65","'2+0, 2+1, 2+2",
"'","'35-45","'Spring","'-","'-","'","'-","'","'",
"'P. palustris","'0","'Spring","'15","'Press","'Pine straw","'","'75","'1+0",
"'P. pinaster","'0","'Spring","'30","'6-13","'-","'","'","'1+0",
"'P. ponderosa var. ponderosa","'28-60","'Spring","'25-46","'6-10","'None","'","'48-80","'1+0, 2+0, 3+0,",
"'","'","'","'","'","'","'","'","'1+2",
"'var. scopulorum","'20-30","'Spring","'35-40","'3-6","'None","'","'70","'1+0,2+0",
"'","'0","'Fall or spring","'50-65","'13","'None","'","'70","'1+2,2+1,2+2",
"'P. pungens","'0","'Fall or","'20-33","'6-13","'Straw","'","'19-28","'1+0,2+0",
