"'Table I -Artemisia, sagebrush:","'distribution and ecology","'of principal shrubby","'species in the United States",
"'Scentific name","'Common names(s)","'Distribution","'Habitat",
"'","'","'","'",
"'SUBGENUS TRIDENTATAE","'","'","'",
"'A. arbuscula Nutt.","'low sagebrush","'Widely distributed, mostly intermountain","'Shallow, rocky soils in mtns",
"'A. bigelovii Gray","'Bigelow sagebrush, rimrock sagebrush","'SW deserts","'Shallow rocky soils at middle to low elevations bottoms or",
"'A. cana Pursh","'silver sagebrush","'NW Great Plains, N intermountain region & N Sierras","'Deep sandy soils in valley snow catchment basins in mtns",
"'A. nova A. Nels.","'black sagebrush","'Widely distributed, mostly intermountain","'Shallow soils over bedrock at middle to low elevations region",
"'A. pygmaea Gray","'pygmy sagebrush","'Utah & adjacent parts of Nevada & Colorado","'Fine-textured calcareous soils at low elevations",
"'A. rigida (Nutt.) Gray","'stiff sagebrush, scabland sagebrush","'Columbia Plateau, E Washington & Oregon","'Shallow rocky soils over basalt at low elevations",
"'A. tridentata Nutt.","'big sagebrush","'Widely distributed, W North America","'Wide ecological amplitude",
"'A.t. ssp. tridentata Nutt.","'basin big sagebrush","'See species","'Mostly on deep well-drained soils of valley bottoms",
"'A.t. ssp. vaseyana (Rydb.) Beetle","'mountain big sagebrush, Vasey sagebrush","'See species","'Mostly on coarse soils at middle to high elevations benchlands",
"'A.t. ssp. wyomingensis Beetle & Young","'Wyoming big sagebrush","'See species","'On coarse to fine soils of at middle to low elevation",
"'A. tripartita Rydb.","'threetip sagebrush","'Columbia Plateau E into Wyoming","'Deep to shallow mostly volcanic soils at low elevations",
"'OTHER SUBGENERA","'","'","'",
"'A. filifolia Torr.","'sand sagebrush, old man sagebrush","'W Great Plains & SW deserts","'Sandy soils at low to middle elevations",
"'A. frigida Willd.","'fringed sagebrush","'W North America to central Asia","'Very wide ecological amplitude",
"'A. spinescens D.C. Eat. Picrothamnus desertorum Nutt.","'budsage","'Widely distributed, mostly N intermountain region","'Semiarid bottoms, benches, & foothills, salt desert shrublands",
,,,

'Confidence Scores % (Table Cell)
""'86.62109375","'86.62109375","'86.62109375","'86.62109375",
"'93.99414063","'93.75000000","'94.14062500","'95.65429688",
"'39.03808594","'39.03808594","'39.03808594","'39.03808594",
"'77.73437500","'77.73437500","'77.73437500","'77.73437500",
"'92.67578125","'92.43164063","'92.82226563","'94.33593750",
"'70.89843750","'70.70312500","'70.99609375","'72.16796875",
"'89.59960938","'89.40429688","'89.74609375","'91.21093750",
"'90.91796875","'90.72265625","'91.06445313","'92.52929688",
"'89.35546875","'89.16015625","'89.50195313","'90.96679688",
"'80.95703125","'80.76171875","'81.10351563","'82.42187500",
"'83.00781250","'82.81250000","'83.15429688","'84.52148438",
"'90.57617188","'90.38085938","'90.72265625","'92.18750000",
"'91.50390625","'91.25976563","'91.65039063","'93.11523438",
"'83.49609375","'83.30078125","'83.64257813","'84.96093750",
"'90.57617188","'90.38085938","'90.72265625","'92.18750000",
"'74.60937500","'74.60937500","'74.60937500","'74.60937500",
"'93.70117188","'93.45703125","'93.84765625","'95.36132813",
"'88.81835938","'88.57421875","'88.96484375","'90.38085938",
"'94.72656250","'94.48242188","'94.87304688","'96.43554688",
