"'Table I-Rhododendron, rhododendron and","'azalea: nomenclature and","'occurrence",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'EVERGREEN RHODODENDRONS","'","'",
"'R. carolinianum Rehd.","'Carolina rhododendron, Carolina azalea","'Higher slopes of Blue Ridge Mtns",
"'R. catawbiense Michx.","'Catawba rhododendron, Catawba rosebay, mountain rosebay, purple laurel,","'Mtns of West Virginia & Virginia to Georgia & Alabama",
"'R. chapmannii A. Gray R. minus var. chapmanii (A. Gray) Duncan & Pullen","'Chapman's rhododendron","'Sandy coastal plain of NW Florida",
"'R. macrophyllum D. Don ex G. Don R. californicum Hook. R. washintonianum Hort. ex Zab.","'west coast rhododendron, California rosebay, Pacific rhododendron","'Pacific Coast from British Columbia to central California",
"'R. maximum L. R. maximum var. roseum Pursh R. ashleyi Coker","'rosebay rhododendron, rosebay, great laurel rhododendron","'Ontario & Nova Scotia S along Appalachian Mtns to Georgia & Alabama",
"'R. minus Michx. R. cuthbertii Small; R. punctatum Andr.","'piedmont rhododendron","'Piedmont & lower mtn elevations of Tennessee & North Carolina to Alabama",
"'DECIDUOUS RHODODENDRONS","'","'",
"'R. alabamense Rehd. Azalea alabamensis (Rehd.) Small","'Alabama azalea","'Alabama",
"'R. albiflorum Hook. Azalea albiflora (Hook.) O. Kuntze Azaleastrum albiflorum (Hook.) Rydb.","'Cascade azalea","'Rocky Mtns of British Columbia & Alberta to Oregon & Colorado",
"'R arborescens (Pursh) Torr. Azalea arborescens Pursh","'smooth azalea, sweet azalea","'Pennsylvania to Georgia & Alabama",
"'R atlanticum (Ashe) Rehd. Azalea atlantica Ashe.","'coast azalea, dwarf azalea","'Delaware to South Carolina",
"'R. austrinum (Small) Rehd. Azalea austrina Small","'Florida flame azalea, orange azalea","'Florida to SE Mississippi",
"'R. calendulaceum (Michx.) Torr. Azalea calendulacea Michx. Azalea lutea auct. non L.","'flame azalea, yellow azalea","'SW Pennsylvania & Ohio to Georgia",
"'R. camtschaticum Pallas Therorhodion camtschaticum (Pallas) Small","'Kamchatka rhododendron","'NE Asia, Alaska to British Columbia",
"'R. canadense (L.) Torr. Azalea canadensis (L.) O. Kuntze Rhodora canadensis L.","'rhodora","'Newfoundland to Pennsylvania",
"'R. canescens (Michx.) Sweet Azalea canescens Michx. R. candidum (Small) Rehd.","'Florida pinxter, hoary azalea, mountain azalea","'North Carolina to Florida & Texas",
"'R. cumberlandense E.L. Braun R. bakeri auct. non (Lemm. & McKay) Hume","'Cumberland rhododendron","'Kentucky & West Virginia to North Carolina, Georgia, & Alabama",
"'R. flammeum (Michx.) Sarg. R. speciosum (Willd.) Sweet Azalea speciosa Willd.","'Oconee azalea, Piedmont azalea","'South Carolina & Georgia",
"'R lapponicum (L.) Wahlenb. Azalea lapponica L.","'Lapland rhododendron, Lapland rosebay","'Mtns of N Europe, N Asia, & N North America",
"'R oblongifolium (Small) Millais Azalea oblongifolia Small","'Texas azalea","'Arkansas, SE Texas, & E Oklahoma",
"'R occidentale (Torr. & A. Gray ex Torr.) A. Gray","'western azalea","'S Oregon to S California",
,,

'Confidence Scores % (Table Cell)
"'83.64257813","'83.64257813","'83.64257813",
"'93.94531250","'91.40625000","'94.09179688",
"'67.57812500","'67.57812500","'67.57812500",
"'91.89453125","'89.45312500","'92.04101563",
"'95.60546875","'93.01757813","'95.75195313",
"'87.10937500","'84.76562500","'87.25585938",
"'62.10937500","'60.40039063","'62.20703125",
"'64.40429688","'62.64648438","'64.50195313",
"'95.99609375","'93.40820313","'96.14257813",
"'69.67773438","'69.67773438","'69.67773438",
"'50.83007813","'49.48730469","'50.92773438",
"'85.88867188","'83.59375000","'86.03515625",
"'91.65039063","'89.16015625","'91.74804688",
"'93.11523438","'90.62500000","'93.26171875",
"'79.29687500","'77.14843750","'79.39453125",
"'89.45312500","'87.01171875","'89.55078125",
"'81.10351563","'78.90625000","'81.20117188",
"'93.11523438","'90.62500000","'93.26171875",
"'94.77539063","'92.23632813","'94.92187500",
"'68.06640625","'66.25976563","'68.16406250",
"'91.21093750","'88.76953125","'91.35742188",
"'90.86914063","'88.42773438","'91.01562500",
"'88.81835938","'86.42578125","'88.91601563",
"'51.51367188","'50.14648438","'51.61132813",
