"'Table I-Arctostaphylos,","'manzanita: habitat","'requirements and","'geographic distribution","'",
"'Scientific name","'Common name(s)","'Habit","'Habitat","'Distribution",
"'A. canescens Eastw.","'hoary manzanita","'Shrubby, without burl","'Ponderosa pine forest, chaparral","'N California to Oregon",
"'A. glandulosa Eastw.","'Eastwood manzanita","'Shrubby, with burl","'Ponderosa pine forest, chaparral","'California to Oregon",
"'A. glauca Lindl.","'bigberry manzanita","'Shrubby or treelike, without burl","'Chaparral, joshua tree woodland","'S California to Baja California",
"'A. patula Greene","'greenleaf manzanita","'Shrubby, with burl","'Ponderosa pine forest","'California to Oregon, Arizona, & Colorado",
"'A. pungens Kunth","'Mexican manzanita, pointleaf manzanita","'Shrubby, without burl","'Ponderosa pine forest, chaparral, pinyon-juniper woodland","'S California, E to Utah & Texas & S into Mexico",
"'A. pringlei Parry","'rosybract manzanita, Pringle manzanita","'Shrubby, without burl","'Ponderosa pine forest, chaparral, mixed warm desert shrubland","'S California, S to Baja California & E to Arizona & SW Utah",
"'A. uva-ursi (L.) Spreng.","'bearberry, kinnickinnick","'Mat forming, without burl","'Coniferous forest mostly at high elevation","'Circumboreal, S to California, New Mexico, Illinois, & Georgia",
,,,,

'Confidence Scores % (Table Cell)
""'89.74609375","'89.74609375","'89.74609375","'89.74609375","'89.74609375",
"'88.47656250","'89.84375000","'87.10937500","'91.30859375","'91.89453125",
"'87.40234375","'88.72070313","'86.03515625","'90.13671875","'90.77148438",
"'84.61914063","'85.88867188","'83.30078125","'87.30468750","'87.89062500",
"'90.67382813","'92.04101563","'89.25781250","'93.55468750","'94.18945313",
"'84.52148438","'85.83984375","'83.20312500","'87.20703125","'87.79296875",
"'89.01367188","'90.33203125","'87.59765625","'91.79687500","'92.43164063",
"'88.42773438","'89.79492188","'87.06054688","'91.25976563","'91.84570313",
"'91.40625000","'92.82226563","'89.99023438","'94.33593750","'94.92187500",
