"'Table -Quercus, oak:","'nomenclature and","'occurrence","'",
"'Scientific name & synonym(s)","'Group*","'Common names","'Occurrence",
"'Q. acutissima Carr.","'white","'sawtooth oak","'E Asia & Japan; introduced to E US",
"'Q. agrifolia Née","'black","'California live oak, coast live oak; encina","'Coastal ranges from central to S California",
"'Q. alba L.","'white","'white oak, fork-leaf white & stave oaks","'SW Maine to N Wisconsin; S to N Florida & E Texas",
"'Q. arizonica Sarg.","'white","'Arizona white oak, Arizona oak; roble","'SW Texas to New Mexico, Arizona, & N Mexico at 1,500-3,000 m",
"'Q. bicolor Willd.","'white","'swamp white oak, cow oak","'SW Maine to N Wisconsin S to Tennessee & Missouri",
"'Q. cerris L.","'white","'European turkey oak, turkey oak","'S Europe to W Asia; introduced to central US",
"'Q. chrysolepis Liebm.","'white","'canyon live oak, canyon, maul, goldcup, & live oaks","'Mtns of SW Oregon, S to S California & N Mexico; local in mtns. of Nevada & Arizona",
"'Q. coccinea Muenchh.","'black","'scarlet oak, black & Spanish oaks","'SE Maine to Michigan; S to Georgia, & S Alabama & Missouri",
"'Q. douglasii Hook. & Arn.","'white","'blue oak, California blue, iron, & mountain white oaks","'Foothills of Sierra Nevada & coastal ranges of California",
"'Q. dumosa Nutt.","'white","'California scrub oak, scrub oak","'Coast Ranges & offshore islands of California & Baja California",
"'Q. ellipsoidalis E. J. Hill","'black","'northern pin oak, black, jack, & Hill oaks","'Michigan to SW North Dakota; S to lowa & NW Ohio",
"'Q. emoryi Torr.","'black","'Emory oak, black oak, bellota, roble negro","'Mtns of Trans-Pecos Texas, SW New Mexico, SE & central Arizona, & N Mexico",
"'Q. falcata Michx. Q. triloba Michx.","'black","'southern red oak, Spanish & red oaks","'SE New York to S Missouri; S to N Florida & SE Texas",
"'Q. gambelii Nutt. Q. vreelandii Rydb. Q. utahensis DC.) Rydb.","'white","'Gambel oak, Rocky Mtn. white & Utah white oaks; encino","'Colorado and Wyoming, W to Utah & S to Arizona, New Mexico, Texas, & NW Oklahoma",
"'Q. garryana Dougl. ex Hook.","'white","'Oregon white oak, Garry, post, Oregon, Brewer, & shin oaks","'British Columbia; S in mtns to central California",
"'Q. grisea Liebm.","'white","'gray oak","'SW Texas to New Mexico, Arizona, & N Mexico",
"'Q. ilicifolia Wangenh.","'black","'bear oak, scrub oak","'S Maine, W to New York; S to West Virginia, SW Virginia, & W North Carolina",
"'Q. imbricaria Michx.","'black","'shingle oak, laurel oak","'Pennsylvania, S to S Michigan; North Carolina & Arkansas; local in Louisiana & Alabama",
"'Q. incana Bartr.","'black","'bluejack oak, sandjack, bluejack, shin, & turkey oaks","'Coastal plain from Virginia to central Florida; W to Louisiana, E Texas, Oklahoma, & Arkansas",
"'Q. kelloggii Newb.","'black","'California black oak, black & Kellogg oaks","'SW Oregon; S through Coast Ranges & Sierra Nevada to S California",
"'Q. laevis Walt. Q. catesbaei Michx.","'black","'turkey oak, scrub & Catesby oaks","'Coastal plain from SE Virginia to central Florida, & W to Louisiana",
"'Q. laurifolia Michx.","'black","'laurel oak, Darlington, water, swamp, laurel, & diamond-leaf oaks","'Coastal plain from SE Virginia to S Florida; W to E Texas & S Arkansas",
"'Q. lobata Née","'white","'California white oak, valley, valley white, weeping, & water oaks; roble","'Valleys & foothills in California; also Santa Cruz & Santa Catalina Islands",
"'Q. lyrata Walt.","'white","'overcup oak, swamp post, water white, & swamp white oaks","'Coastal plain from Delaware to Florida; W to E Texas & SW Indiana",
"'Q. macrocarpa Michx.","'white","'bur oak, mossycup, blue oak, mossy-overcup, & scrub oaks","'S New Brunswick & Manitoba; S to Tennessee & SE Texas",
,,,

'Confidence Scores % (Table Cell)
"'83.49609375","'83.49609375","'83.49609375","'83.49609375",
"'93.99414063","'87.54882813","'94.14062500","'94.87304688",
"'81.49414063","'75.87890625","'81.59179688","'82.27539063",
"'87.30468750","'81.29882813","'87.40234375","'88.13476563",
"'93.79882813","'87.35351563","'93.94531250","'94.67773438",
"'93.75000000","'87.30468750","'93.89648438","'94.62890625",
"'92.57812500","'86.18164063","'92.72460938","'93.45703125",
"'95.01953125","'88.47656250","'95.16601563","'95.94726563",
"'93.89648438","'87.45117188","'94.04296875","'94.77539063",
"'92.04101563","'85.69335938","'92.18750000","'92.91992188",
"'93.40820313","'87.01171875","'93.55468750","'94.28710938",
"'91.45507813","'85.20507813","'91.60156250","'92.33398438",
"'92.87109375","'86.47460938","'92.96875000","'93.75000000",
"'92.33398438","'85.98632813","'92.48046875","'93.21289063",
"'92.43164063","'86.08398438","'92.57812500","'93.31054688",
"'70.16601563","'65.38085938","'70.26367188","'70.84960938",
"'92.87109375","'86.47460938","'92.96875000","'93.75000000",
"'92.67578125","'86.27929688","'92.77343750","'93.55468750",
"'92.77343750","'86.37695313","'92.87109375","'93.65234375",
"'90.57617188","'84.32617188","'90.72265625","'91.40625000",
"'92.57812500","'86.18164063","'92.72460938","'93.45703125",
"'87.10937500","'81.10351563","'87.20703125","'87.93945313",
"'89.79492188","'83.64257813","'89.94140625","'90.67382813",
"'94.48242188","'87.98828125","'94.62890625","'95.36132813",
"'93.79882813","'87.35351563","'93.94531250","'94.67773438",
"'93.35937500","'86.96289063","'93.50585938","'94.23828125",
"'95.55664063","'88.96484375","'95.70312500","'96.48437500",
