"'Table I-Quercus, oak:","'nomenclature and","'occurrence (continued)","'",
"'Scientific name & synonym(s)","'Group*","'Common names","'Occurrence",
"'Q. marilandica Muenchh.","'black","'blackjack oak, barren & jack oaks; blackjack","'New York, W to Ohio, lowa, & Oklahoma; S to Texas & NW Florida",
"'Q. michauxii Nutt. Q. prinus L.","'white","'swamp chestnut oak, cow & basket oaks","'Coastal plain from New Jersey to N Florida; W to E Texas; N in Mississippi Valley to S Illinois & Indiana",
"'Q. muehlenbergii Engelm.","'white","'chinkapin oak, rock, yellow, chestnut, yellow chestnut, & rock chestnut oaks","'W Vermont & New York to Minnesota & SE Nebraska; S to NW Florida & central Texas",
"'Q. nigra L.","'black","'water oak, possum oak","'Coastal plain from New Jersey to S Florida, W & spotted oaks to E Texas, & N in Mississippi Valley to SE Oklahoma",
"'Q. pagoda Raf. Q. falcata var pagodaefolia Ell.","'black","'cherrybark oak, bottomland red, Elliott, & swamp red oaks","'SE New Jersey to E Oklahoma; S to N Florida & E Texas",
"'Q. palustris Muenchh.","'black","'pin oak, swamp, water, Spanish, & swamp Spanish oaks","'Massachusetts & Vermont to S Michigan; S to NE Oklahoma, Tennessee, & central North Carolina",
"'Q. petraea (Mattusch) Liebl. Q. sessiliflora Salisb.","'white","'durmast oak, sessile oak","'Europe & W Asia; planted in central & NE US",
"'Q. phellos L.","'black","'willow oak, pin, peach, & swamp willow oaks","'Coastal plain from New Jersey to N Florida; W to E Texas & S Illinois",
"'Q. prinus L. Q. montana Willd.","'white","'chestnut oak, rock chestnut, rock, & tanbark oaks","'SW Maine & S Ontario; S to central Georgia & NW Mississippi",
"'Q. robur L.","'white","'English oak, pedunculate oak","'Europe, N Africa, & W Asia; naturalized in SE Canada & NE US",
"'Q. rubra L. Q. borealis Michx.f.","'black","'northern red oak, red, common red, eastern red, & gray oaks","'Cape Breton Island & Nova Scotia; W to Ontario & S to eastern Oklahoma & Georgia",
"'Q. shumardii Buckl.","'black","'Shumard oak, spotted, Schneck, swamp red, & Shumard red oaks","'Coastal plain, mostly, from North Carolina to N Florida; W to central Texas, Kansas, & S Illinois",
"'Q. sinuata Walt. Q. durandii Buckl.","'white","'Durand oak, Durand white, bluff, & bastard oaks","'Coastal Plain from North Carolina to N Florida & W to Texas, Oklahoma, & NE Mexico",
"'Q. stellata Wangenh.","'white","'post oak, iron oak","'SE Massachusetts to SE lowa, & S to central Florida & Texas",
"'Q. suber L.","'white","'cork oak","'SW Europe & N Africa; planted in California",
"'Q. texana Buckl. Q. nuttallii Palmer","'black","'Nuttall oak, red, Red River, & pin oak","'Gulf coastal plain from Alabama to SE Texas; N in Mississippi Valley to SE Missouri",
"'Q. turbinella Greene","'white","'shrub live oak, turbinella & scrub oaks; encino","'SW Colorado & Utah; S to S California, Arizona, & northern Mexico",
"'Q. turbinella var. ajoensis (C.H. Muller) Little","'white","'shrub live oak, Ajo oak","'SW Arizona & N Mexico",
"'Q. vaccinifolia Kellog","'white","'huckleberry oak","'SW Oregon to central California",
"'Q. variabilis BI. Q. chinensis Bge.[not Abel] Q. serrata Carruth. [not Thunb.]","'black","'oriental oak","'N China, Korea, & Japan; planted in central & NE US",
"'Q. velutina Lam.","'black","'black oak, yellow, smooth-bark, quercitron, & yellow-bark oak; quercitron","'SW Maine to SE Minnesota; S to N Florida & E Texas",
"'Q. virginiana P. Mill.","'white","'live oak, Virginia live oak; encino","'Coastal plain from SE Virginia to S Florida (including Florida Keys); W to S Texas",
"'Q. wislizenii A. DC.","'black","'interior live oak, highland live & Sierra live oaks","'Foothills of Sierra Nevada & Coast Ranges in California, S to Mexico",
,,,

'Confidence Scores % (Table Cell)
"'76.22070313","'76.22070313","'76.22070313","'76.22070313",
"'94.09179688","'87.10937500","'93.79882813","'94.38476563",
"'95.26367188","'88.18359375","'94.92187500","'95.55664063",
"'95.16601563","'88.08593750","'94.82421875","'95.45898438",
"'95.45898438","'88.33007813","'95.11718750","'95.75195313",
"'92.77343750","'85.83984375","'92.43164063","'93.06640625",
"'95.70312500","'88.57421875","'95.36132813","'95.99609375",
"'83.74023438","'77.49023438","'83.44726563","'83.98437500",
"'91.50390625","'84.71679688","'91.21093750","'91.79687500",
"'90.33203125","'83.59375000","'89.99023438","'90.57617188",
"'94.38476563","'87.35351563","'94.09179688","'94.67773438",
"'91.50390625","'84.71679688","'91.21093750","'91.79687500",
"'95.41015625","'88.28125000","'95.06835938","'95.70312500",
"'94.77539063","'87.74414063","'94.43359375","'95.06835938",
"'92.33398438","'85.44921875","'92.04101563","'92.62695313",
"'89.94140625","'83.25195313","'89.64843750","'90.18554688",
"'84.91210938","'78.56445313","'84.61914063","'85.15625000",
"'79.19921875","'73.29101563","'78.90625000","'79.44335938",
"'90.91796875","'84.13085938","'90.57617188","'91.16210938",
"'94.09179688","'87.10937500","'93.79882813","'94.38476563",
"'76.90429688","'71.14257813","'76.61132813","'77.09960938",
"'65.33203125","'60.44921875","'65.08789063","'65.52734375",
"'95.21484375","'88.13476563","'94.87304688","'95.50781250",
"'76.46484375","'70.75195313","'76.17187500","'76.66015625",
"'94.09179688","'87.10937500","'93.79882813","'94.38476563",
