"'Table -Quercus,","'oak: seed","'yield data","'","'","'","'","'",
"'","'Seed","'weight/","'","'Cleaned","'seeds/weight","'","'",
"'","'fruit","'vol","'","'Range","'Average","'","'",
"'Species","'kg/hl","'lb/bu","'/kg","'","'/kg","'/lb","'Samples",
"'Q. acutissima","'-","'-","'210-245","'95-110","'85","'187","'2",
"'Q. agrifolia","'","'-","'-","'-","'200","'440","'I",
"'Q. alba","'58-129","'45-100","'155-465","'70-210","'98","'215","'23",
"'Q. bicolor","'-","'-","'200-385","'90-175","'265","'120","'3",
"'Q. cerris","'-","'-","'130-320","'60-145","'240","'110","'4",
"'Q. chrysolepis","'-","'-","'110-310","'50-150","'-","'-","'-",
"'Q. coccinea","'39-77","'30-60","'230-890","'105-405","'520","'235","'4",
"'Q. douglasii","'-","'-","'120-330","'55-180","'220","'100","'4",
"'Q. dumosa","'-","'-","'-","'-","'220","'100","'I",
"'Q. ellipsoidalis","'-","'-","'450-640","'205-290","'540","'245","'II",
"'Q. falcata","'42-64","'33-50","'705-1,730","'320-785","'1,190","'540","'9",
"'Q. garryana","'50","'39","'165-220","'75-100","'185","'85","'3",
"'Q. ilicifolia","'-","'-","'-","'-","'1545","'700","'I",
"'Q. imbricaria","'-","'-","'695-1,750","'315-795","'915","'415","'II",
"'Q. incana","'-","'-","'500-1,500","'225-680","'-","'-","'-",
"'Q. kelloggii","'-","'-","'115-325","'52-145","'210","'95","'49",
"'Q. laevis","'-","'-","'-","'-","'870","'395","'I",
"'Q. laurifolia","'-","'-","'860-1,520","'90-690","'1,235","'560","'3",
"'Q. lobata","'-","'-","'165-525","'75-237","'285","'130","'4",
"'Q. lyrata","'-","'-","'285-340","'130-154","'265","'120","'6",
"'Q. macrocarpa","'39-45","'30-35","'90-300","'40-135","'165","'75","'8",
"'Q. michauxii","'51-80","'40-62","'75-430","'35-195","'125","'55","'35",
"'Q. muehlenbergii","'60-66","'47-51","'580-1,145","'265-520","'870","'395","'4",
"'Q. nigra","'57-72","'44-56","'510-1,545","'230-700","'640","'290","'226",
"'Q. pagoda","'-","'-","'925-1,640","'420-745","'690","'312","'41",
"'Q. palustris","'-","'-","'705-1,190","'320-540","'475","'220","'33",
"'Q. petraea","'-","'-","'130-650","'60-295","'375","'170","'9",
"'Q. phellos","'59-60","'46-47","'600-1,530","'270-695","'835","'380","'183",
"'Q. prinus","'-","'-","'120-430","'55-195","'220","'100","'5",
"'Q. robun","'-","'-","'200-495","'90-225","'285","'130","'10",
"'Q. rubra","'28-134","'22-104","'165-565","'75-255","'235","'105","'55",
"'Q. shumardii","'64","'50","'170-280","'80-130","'220","'100","'27",
"'Q. sinuata","'53","'47","'-","'-","'6,400","'290","'I",
"'Q. stellata","'69","'54","'440-1,400","'200-635","'840","'380","'9",
"'Q. suber","'-","'-","'110-220","'50-100","'165","'75","'13",
"'Q. texana","'67","'52","'125-315","'55-145","'220","'100","'83",
"'Q. turbinella","'-","'-","'660-770","'300-350","'715","'325","'2",
"'Q. vaccinifolia","'33","'26","'1630-2,910","'740-1,320","'2,270","'1,030","'2",
"'Q. variabilis","'-","'-","'165-275","'75-125","'230","'105","'12",
"'Q. velutina","'53-63","'41-49","'275-882","'125-400","'540","'245","'7",
"'Q. virginiana","'71","'55","'530-1,125","'240-510","'775","'350","'4",
"'Q. wislizenii","'36","'28","'100-152","'100-150","'275","'125","'3",
,,,,,,,

'Confidence Scores % (Table Cell)
"'49.21875000","'49.21875000","'49.21875000","'40.64941406","'40.64941406","'40.64941406","'40.64941406","'40.64941406",
"'92.18750000","'89.79492188","'89.79492188","'86.81640625","'86.81640625","'86.81640625","'86.81640625","'91.84570313",
"'92.18750000","'89.79492188","'89.79492188","'76.36718750","'76.36718750","'86.62109375","'86.62109375","'91.84570313",
"'92.18750000","'85.98632813","'91.06445313","'91.45507813","'91.94335938","'91.35742188","'88.52539063","'91.84570313",
"'94.04296875","'87.93945313","'93.11523438","'93.50585938","'94.04296875","'93.40820313","'90.52734375","'92.96875000",
"'80.37109375","'75.14648438","'79.58984375","'79.93164063","'80.37109375","'79.83398438","'77.39257813","'79.44335938",
"'87.45117188","'81.78710938","'86.62109375","'86.96289063","'87.45117188","'86.86523438","'84.17968750","'86.42578125",
"'90.08789063","'84.27734375","'89.25781250","'89.59960938","'90.08789063","'89.50195313","'86.76757813","'89.06250000",
"'90.82031250","'84.91210938","'89.94140625","'90.28320313","'90.82031250","'90.23437500","'87.45117188","'89.74609375",
"'89.35546875","'83.54492188","'88.47656250","'88.86718750","'89.35546875","'88.76953125","'86.03515625","'88.28125000",
"'89.94140625","'84.13085938","'89.11132813","'89.45312500","'89.94140625","'89.35546875","'86.62109375","'88.91601563",
"'88.81835938","'83.05664063","'87.98828125","'88.33007813","'88.81835938","'88.23242188","'85.49804688","'87.79296875",
"'90.23437500","'84.37500000","'89.35546875","'89.74609375","'90.23437500","'89.64843750","'86.86523438","'89.20898438",
"'91.55273438","'85.64453125","'90.67382813","'91.06445313","'91.55273438","'90.96679688","'88.18359375","'90.52734375",
"'91.74804688","'85.79101563","'90.86914063","'91.25976563","'91.74804688","'91.16210938","'88.33007813","'90.67382813",
