"'Table","'2-Prosopis, mesquite:","'germination test conditions and","'results","'","'",
"'Seed","'Scarification","'Germination","'Temp (°C)","'","'Avg",
"'age (yr)","'treatment","'medium","'Day","'Night","'germination",
"'11","'Nicking","'Wet paper","'27","'27","'98",
"'50","'Nicking","'Wet paper","'27","'27","'60",
"'","'None","'Wet paper","'27","'27","'18",
"'","'H2SO4","'Wet sand","'30","'20","'88",
,,,,,

'Confidence Scores % (Table Cell)
"'94.72656250","'94.72656250","'94.72656250","'94.72656250","'94.72656250","'94.72656250",
"'92.62695313","'94.33593750","'93.50585938","'89.99023438","'89.99023438","'89.99023438",
"'92.62695313","'94.33593750","'93.50585938","'83.49609375","'85.83984375","'89.99023438",
"'85.59570313","'88.08593750","'88.91601563","'84.13085938","'86.47460938","'89.50195313",
"'79.05273438","'81.34765625","'82.12890625","'77.68554688","'79.83398438","'82.66601563",
"'81.29882813","'83.64257813","'84.42382813","'79.88281250","'82.08007813","'85.00976563",
"'86.23046875","'88.72070313","'89.59960938","'84.76562500","'87.10937500","'90.18554688",
