"'Table 2-Rubus, blackberry, raspberry:","'height or","'length at","'maturity and fruit","'ripeness criteria","'",
"'","'","'Height or length at","'","'Fruit","'ripeness criteria",
"'Species","'Growth habit","'maturity (m)","'Year first cultivated","'Preripe","'Ripe",
"'","'","'","'","'","'",
"'SUBGENUS: Eubatus","'","'","'","'","'",
"'","'","'","'","'","'",
"'R. allegheniensis","'Shrub","'1.8","'1905","'Red, hard","'Black-purple",
"'R. canadensis","'Shrub","'2.8","'1727","'Red, hard","'Black, soft",
"'R. hispidus","'Vine","'1.8-2.5","'-","'Red, hard","'Reddish purple to black",
"'R. laciniatus","'Vine","'2.8-4.6","'1770","'Dull red","'Black, sweet, shining",
"'R. procerus","'Vine","'6.2-9.2","'1890","'Red, hard","'Black, soft",
"'R. ursinus","'Vine","'4.6-6.2","'-","'Red, hard","'Black, shining, soft",
"'SUBGENUS: Idaeobatus","'","'","'","'","'",
"'","'","'","'","'","'",
"'R. idaeus","'Shrub","'2.2","'-","'Pink, hard","'Red, sweet",
"'R. occidentalis","'Shrub","'1.5-2.2","'1696","'Bright red, hard","'Purple-black, soft",
"'R. spectabilis","'Shrub","'2.8-4.6","'1827","'Pink, hard","'Orange or red, soft",
"'SUBGENUS: Chamaemorus","'","'","'","'","'",
"'R. chamaemorus Perennial below-ground","'forb, rhizome","'0.1-0.2","'-","'Red, hard","'Orange, soft",
"'SUBGENUS: Anoplobatus","'","'","'","'","'",
"'R. odoratus","'Shrub","'1.8","'1635","'Pink, hard","'Red, soft",
"'R. parviflorus","'Shrub","'0.5-2.5","'-","'Pink, hard","'Red, soft",
,,,,,

'Confidence Scores % (Table Cell)
"'91.74804688","'91.74804688","'91.74804688","'91.74804688","'91.74804688","'91.74804688",
"'49.51171875","'91.99218750","'97.26562500","'95.11718750","'92.04101563","'92.04101563",
"'49.51171875","'91.99218750","'97.26562500","'95.11718750","'90.67382813","'92.13867188",
"'46.38671875","'46.38671875","'46.38671875","'46.38671875","'46.38671875","'46.38671875",
"'80.12695313","'80.12695313","'80.12695313","'80.12695313","'80.12695313","'80.12695313",
"'40.82031250","'40.82031250","'40.82031250","'40.82031250","'40.82031250","'40.82031250",
"'22.08251953","'50.68359375","'57.51953125","'56.10351563","'56.68945313","'57.56835938",
"'32.51953125","'74.65820313","'84.66796875","'82.66601563","'83.44726563","'84.81445313",
"'30.61523438","'70.26367188","'79.68750000","'77.78320313","'78.56445313","'79.78515625",
"'33.91113281","'77.83203125","'88.28125000","'86.13281250","'87.01171875","'88.42773438",
"'31.42089844","'72.11914063","'81.83593750","'79.88281250","'80.66406250","'81.93359375",
"'34.08203125","'78.22265625","'88.72070313","'86.62109375","'87.45117188","'88.86718750",
"'75.43945313","'75.43945313","'75.43945313","'75.43945313","'75.43945313","'75.43945313",
"'32.54394531","'32.54394531","'32.54394531","'32.54394531","'32.54394531","'32.54394531",
"'34.88769531","'80.07812500","'90.82031250","'88.67187500","'89.55078125","'90.96679688",
"'29.93164063","'68.70117188","'77.92968750","'76.02539063","'76.80664063","'78.02734375",
"'33.88671875","'77.78320313","'88.23242188","'86.13281250","'86.96289063","'88.37890625",
"'69.18945313","'69.18945313","'69.18945313","'69.18945313","'69.18945313","'69.18945313",
"'30.51757813","'70.01953125","'79.44335938","'77.53906250","'78.32031250","'79.58984375",
"'64.69726563","'64.69726563","'64.69726563","'64.69726563","'64.69726563","'64.69726563",
"'31.71386719","'72.75390625","'82.51953125","'80.56640625","'81.34765625","'82.66601563",
"'26.90429688","'61.76757813","'70.06835938","'68.35937500","'69.04296875","'70.16601563",
