"'","'","'","'","'","'",
"'","'Storage","'Incubation","'Germination","'(%)","'",
"'Species","'(months)","'treatment","'Mean","'Range","'Samples",
"'A. canescens","'3","'15 °C","'32","'4-96","'23",
"'","'24","'15 °C","'54","'10-100","'23",
"'","'3","'4 wk @ I-15 °C","'41","'4-93","'23",
"'","'24","'4 wk @ I-15 °C","'69","'21-100","'23",
"'A. confertifolia","'3","'5/15 °C","'0","'0-1","'15",
"'","'36","'5/15 °C","'2","'0-6","'15",
"'","'3","'16 wk @ 1-5/15 °C","'16","'0-47","'15",
"'","'36","'16 wk @ 1-5/15 °C","'46","'4-83","'15",
"'A. gardneri","'3","'Mean multiple treatments","'26","'-","'|",
"'","'15","'Mean multiple treatments","'48","'-","'I",
"'A. hymenelytra","'8","'5/15 °C","'33","'-","'I",
"'A. lentiformis","'8","'10/20 °C","'56","'29-71","'3",
"'","'24","'Mean multiple treatments","'39","'39-40","'2",
"'","'24","'Best treatment 10/25 %C","'68","'-","'I",
"'A. obovata","'8","'10/20 °C & 0.05 M NaCl","'42","'-","'I",
"'A. polycarpa","'8","'10/20 °C","'53","'11-94","'2",
"'","'8","'20/30 °C","'50","'21-79","'2",
"'A. semibaccata","'24","'Mean multiple treatments","'41","'37-46","'3",
"'","'24","'Best treatment 10/25 °C","'69","'","'I",
"'","'","'","'","'","'",
,,,,,

'Confidence Scores % (Table Cell)
""'37.67089844","'37.67089844","'37.67089844","'37.67089844","'37.67089844","'37.67089844",
"'93.99414063","'94.97070313","'92.28515625","'83.88671875","'83.88671875","'43.57910156",
"'93.99414063","'94.97070313","'92.28515625","'93.35937500","'91.99218750","'43.57910156",
"'77.24609375","'88.33007813","'93.31054688","'91.45507813","'90.08789063","'92.18750000",
"'77.24609375","'83.49609375","'88.18359375","'86.42578125","'85.15625000","'87.10937500",
"'77.24609375","'85.69335938","'90.52734375","'88.72070313","'87.40234375","'89.45312500",
"'77.24609375","'86.03515625","'90.86914063","'89.06250000","'87.74414063","'89.79492188",
"'85.64453125","'86.08398438","'90.91796875","'89.11132813","'87.79296875","'89.84375000",
"'85.64453125","'87.59765625","'92.52929688","'90.67382813","'89.35546875","'91.45507813",
"'85.64453125","'86.37695313","'91.25976563","'89.45312500","'88.13476563","'90.13671875",
"'85.64453125","'86.37695313","'91.25976563","'89.45312500","'88.13476563","'90.13671875",
"'92.23632813","'79.54101563","'84.03320313","'82.32421875","'81.15234375","'83.00781250",
"'92.23632813","'77.73437500","'82.08007813","'80.46875000","'79.29687500","'81.10351563",
"'90.18554688","'87.30468750","'92.18750000","'90.38085938","'89.01367188","'91.11328125",
"'81.88476563","'81.59179688","'86.18164063","'84.47265625","'83.20312500","'85.15625000",
"'81.88476563","'81.78710938","'86.42578125","'84.66796875","'83.44726563","'85.40039063",
"'81.88476563","'78.61328125","'83.05664063","'81.39648438","'80.22460938","'82.08007813",
"'90.91796875","'88.03710938","'92.96875000","'91.11328125","'89.79492188","'91.84570313",
"'62.45117188","'83.20312500","'87.89062500","'86.13281250","'84.86328125","'86.86523438",
"'62.45117188","'80.56640625","'85.10742188","'83.39843750","'82.17773438","'84.08203125",
"'44.94628906","'77.97851563","'82.37304688","'80.76171875","'79.54101563","'81.39648438",
"'44.94628906","'70.84960938","'74.80468750","'73.33984375","'72.26562500","'73.92578125",
"'44.94628906","'44.99511719","'47.50976563","'46.55761719","'45.87402344","'46.94824219",
