"'Table 2-Albizia,","'albizia: phenology of","'flowering, fruit ripening,","'and seed dispersal","'",
"'Species","'Location","'Flowering","'Fruit ripening","'Seed dispersal",
"'A. julibrissin","'S US","'June-Aug","'Sept-Nov","'Sept-Nov",
"'A. lebbeck","'Puerto Rico","'Apr-Sept","'year","'All year",
"'A. procera","'Puerto Rico","'Aug-Sept","'Jan-June","'All year",
"'A. saman","'","'Spring-fall","'Fall-spring","'All year",
,,,,

'Confidence Scores % (Table Cell)
""'90.28320313","'90.28320313","'90.28320313","'90.28320313","'90.28320313",
"'86.18164063","'89.16015625","'88.33007813","'88.96484375","'90.23437500",
"'78.90625000","'81.64062500","'80.85937500","'81.44531250","'82.61718750",
"'73.19335938","'75.73242188","'75.04882813","'75.53710938","'76.66015625",
"'79.00390625","'81.78710938","'81.00585938","'81.54296875","'82.76367188",
"'87.15820313","'90.18554688","'89.35546875","'89.94140625","'91.25976563",
