"'5-Cotoneaster,","'cotoneaster: pregermination","'treatments","'",
"'","'Immersion time in","'Wet","'prechill at 4 °C",
"'Species","'conc H2SO4 (min)","'Medium","'Period (days)",
"'C. acutifolius","'10-90","'Peat","'30-90",
"'C. apiculatus","'60-120","'Sand & peat","'60-90",
"'C. horizontalis","'90-180","'Peat","'90-120",
"'C. integerrimus","'120","'-","'120*",
"'C. lucidus","'5-20","'Sand & perlite","'30-90",
"'C. niger","'10-90","'Peat","'30-90",
,,,

'Confidence Scores % (Table Cell)
""'80.07812500","'80.07812500","'80.07812500","'80.07812500",
"'70.75195313","'60.00976563","'91.94335938","'91.94335938",
"'70.75195313","'60.00976563","'83.83789063","'87.64648438",
"'90.23437500","'60.05859375","'87.89062500","'91.89453125",
"'85.69335938","'57.08007813","'83.49609375","'87.30468750",
"'86.13281250","'57.32421875","'83.88671875","'87.74414063",
"'86.37695313","'57.47070313","'84.13085938","'87.98828125",
"'84.32617188","'56.15234375","'82.17773438","'85.88867188",
"'91.30859375","'60.79101563","'88.91601563","'93.01757813",
