"","Genus_species","Original.Genus","Corrected.Genus","Family","Dormancy.Class","matched_name2"
"1","","","","Burmanniaceae","DUST",""
"36","","","","","",""
"56","Abarema jupunba","Abarema","Abarema","Fabaceae","ND","Abarema jupunba"
"58","Abdulmajidia chaniana","Abdulmajidia","Abdulmajidia","Lecythidaceae","PD","Abdulmajidia chaniana"
"59","Abelia dielsii","Abelia","Abelia","Caprifoliaceae","MPD","Abelia dielsii"
"61","Abeliophyllum distichum","Abeliophyllum","Abeliophyllum","Oleaceae","PD","Abeliophyllum distichum"
"62","Abelmoschus esculenta","Abelmoschus","Abelmoschus","Malvaceae","PY","Abelmoschus esculentus"
"63","Abelmoschus moschatus","Abelmoschus","Abelmoschus","Malvaceae","PY","Abelmoschus moschatus"
"64","Abies alba","Abies","Abies","Pinaceae","PD","Abies alba"
"65","Abies amabilis","Abies","Abies","Pinaceae","PD","Abies amabilis"
"66","Abies balsamea","Abies","Abies","Pinaceae","PD","Abies balsamea"
"67","Abies chensiensis","Abies","Abies","Pinaceae","PD","Abies chensiensis"
"68","Abies concolor","Abies","Abies","Pinaceae","PD","Abies concolor"
"69","Abies densa","Abies","Abies","Pinaceae","PD","Abies densa"
"70","Abies firma","Abies","Abies","Pinaceae","PD","Abies firma"
"72","Abies fraseri","Abies","Abies","Pinaceae","PD","Abies fraseri"
"73","Abies grandis","Abies","Abies","Pinaceae","PD","Abies grandis"
"74","Abies guatemalensis","Abies","Abies","Pinaceae","PD","Abies guatemalensis"
"75","Abies homolepis","Abies","Abies","Pinaceae","PD","Abies homolepis"
"76","Abies lasiocarpa","Abies","Abies","Pinaceae","PD","Abies lasiocarpa"
"77","Abies magnifica","Abies","Abies","Pinaceae","PD","Abies magnifica"
"78","Abies mariesii","Abies","Abies","Pinaceae","PD","Abies mariesii"
"79","Abies mayriana","Abies","Abies","Pinaceae","PD","Abies mayriana"
"80","Abies mexicana","Abies","Abies","Pinaceae","PD","Abies mexicana"
"81","Abies nordmanniana","Abies","Abies","Pinaceae","PD","Abies nordmanniana"
"82","Abies pindrow","Abies","Abies","Pinaceae","PD","Abies pindrow"
"83","Abies procera","Abies","Abies","Pinaceae","PD","Abies procera"
