"datasetID","study","entered.by","genus","species","variety","woody","crop","source.population","provenance.lat","provenance.long","provenance.altitude","continent","no.indiv.collected","year.collected","year.germination","storage.type","storage.time","storage.humidity","storage.temp","treatment","chill.temp","chill.duration","germ.temp","other.treatment","photoperiod","chemical","chemical.concent","trt.duration","scarification","scarif.type","soaking","soaked.in","soaking.duration","seed.mass.given","respvar","response","error.type","resp.error","reps","n.per.rep","germ.duration","germ.time.zero","figure","Notes","sp.name"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","West Kootenay, BC, Canada","50.25","118.166667","1190","North America",NA,"1991",NA,NA,NA,NA,NA,"provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"N",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,"table1",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","Mica, BC, Canada","50.033333329999998","118.8","1200","North America",NA,"1991",NA,NA,NA,NA,NA,"provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"N",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,"table1",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","McGregor, BC, Canada","54.433333330000004","121.73333332999999","850","North America",NA,"1992",NA,NA,NA,NA,NA,"provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"N",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,"table1",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","Central Plateau, BC, Canada","55.05","125.03333333","875","North America",NA,"1994",NA,NA,NA,NA,NA,"provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"N",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,"table1",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","Submaritime zones, BC, Canada","54.65","128.75","800","North America",NA,"1996",NA,NA,NA,NA,NA,"provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,"N",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,"table1",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling","2","21","20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","a","95.2",NA,NA,"4","75","28","end of treatment","table4","a = the maximum cumulative germination percentage equal to germination capacity","Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"control",NA,NA,"20/30",NA,"8",NA,NA,NA,"N",NA,"Y","water","1440","N","a","87.3",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.15","2","21","20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","a","95.2",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moist.chilling.thermoprime.20","2","21","20/30","thermopriming.20degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","a","94.5",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
"liu13","exp1","JN","Picea","glauca",NA,"Y","N","see treatment = provenance.data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thermopriming.15",NA,NA,"20/30","thermopriming.15degrees.3days","8",NA,NA,NA,"N",NA,"Y","water","1440","N","a","86.2",NA,NA,"4","75","28","end of treatment","table4",NA,"Picea glauca"
