"datasetID","study","entered.by","genus","species","variety","woody","crop","source.population","provenance.lat","provenance.long","provenance.altitude","continent","no.indiv.collected","year.collected","year.germination","storage.type","storage.time","storage.humidity","storage.temp","treatment","chill.temp","chill.duration","germ.temp","other.treatment","photoperiod","chemical","chemical.concent","trt.duration","scarification","scarif.type","soaking","soaked.in","soaking.duration","seed.mass.given","respvar","response","error.type","resp.error","reps","n.per.rep","germ.duration","germ.time.zero","figure","Notes","chillTemp","chillDuration","chillTempUnc","chillTempCycle","chillLightCycle","germTempGen","germTemp","germDuration","germTempClass","germTempDay","germTempNight","germPhotoperiod","germPhotoperiodDay","germPhotoperiodNight","scarifTypeGen","scarifTypeSpe","chemicalCor","storageType","storageDetails","storageTemp","storageDuration","responseVar","responseValueNum","responseErrorType","photoperiodCor","treatmentOverview","chemicalConcent","chemicalConcentUnit","datasetIDstudy","latbi","provLatLon","provLatLonAlt","idspp"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","91.5",NA,"22","Light intensity",NA,NA,"20","1050 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","31.9",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","92","percent.germ",31.9,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","122",NA,"22","Light intensity",NA,NA,"20","0 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","17.2",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","122","percent.germ",17.2,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","122",NA,"22","Light intensity",NA,NA,"20","900 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","27.6",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","122","percent.germ",27.6,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","122",NA,"22","Light intensity",NA,NA,"20","1050 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","30.2",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","122","percent.germ",30.2,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","152.5",NA,"22","Light intensity",NA,NA,"20","0 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","42",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","152","percent.germ",42,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","152.5",NA,"22","Light intensity",NA,NA,"20","900 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","44.8",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","152","percent.germ",44.8,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","152.5",NA,"22","Light intensity",NA,NA,"20","1050 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","46.6",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","152","percent.germ",46.6,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","183",NA,"22","Light intensity",NA,NA,"20","0 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","26.1",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","183","percent.germ",26.1,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","183",NA,"22","Light intensity",NA,NA,"20","900 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","26.6",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","183","percent.germ",26.6,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
"momonoki79","exp1","JN","Bupleurum","falcatum",NA,"N","N","National Institute of Hygienic Science, Kasukabe City, Saitama Prefecture, Japan",35.98,139.75,NA,"Asia",NA,"1969",NA,"dry","183",NA,"22","Light intensity",NA,NA,"20","1050 lux",NA,NA,NA,NA,"N",NA,"N",NA,NA,"Y","per.germ","28.1",NA,NA,"1","100",NA,"end of treatment","table1",NA,NA,NA,NA,NA,NA,"20","20",NA,"constant",20,NA,NA,NA,NA,NA,NA,NA,"dry","dry","22","183","percent.germ",28.1,NA,"light","Light intensity","0",NA,"momonoki79exp1","Bupleurum_falcatum","35.98 139.75","35.98 139.75 NA","momonoki79exp1_Bupleurum_falcatum"
