"'Table 3-Carpinus,","'hornbeam:","'seed-bearing age, seedcrop","'frequency, seed","'weight,","'and fruit","'ripeness criteria",
"'","'Minimum seed-bearing","'Years between","'Average cleaned","'no. seeds","'Preripe","'Ripe",
"'Species","'age (yrs)","'large seedcrops","'/kg","'/lb","'color","'color",
"'C. betulus","'10-30","'1-2","'28,660","'13,000","'Green","'Brown",
"'C. caroliniana","'15","'3-5","'66,138","'30,000","'Green","'Greenish brown",
,,,,,,

'Confidence Scores % (Table Cell)
""'94.67773438","'94.67773438","'94.67773438","'94.67773438","'94.67773438","'94.67773438","'94.67773438",
"'91.65039063","'93.65234375","'94.82421875","'93.94531250","'93.94531250","'91.60156250","'89.89257813",
"'91.65039063","'93.65234375","'94.82421875","'80.81054688","'78.71093750","'91.60156250","'89.89257813",
"'71.04492188","'70.36132813","'71.92382813","'69.28710938","'67.48046875","'69.72656250","'72.46093750",
"'75.78125000","'75.04882813","'76.70898438","'73.92578125","'71.97265625","'74.36523438","'77.29492188",
