"'Table I-Cotinus,","'smoketree: nomenclature,","'occurrence, growth habit,","'height at maturity,","'and date first","'cultivated",
"'Scientific name(s)","'Common name(s)","'Occurrence","'Growth habit","'Height (m)","'Year first cultivated",
"'C. coggygria Scop. C. americanus Nutt. C. cotinoides (Nutt. ex Chapm.) Britt.","'common smoketree, smokebush, European smoketree, Venetian sumac","'Central & S Europe, Himalayas & to SW China","'Shrub","'2.5-4.6","'1656",
"'C. obovatus Raf.","'American smoketree, yellowwood","'Tennessee, S to Alabama & Missouri, W to Texas","'Tree","'6.1-9.1","'1882",
,,,,,

'Confidence Scores % (Table Cell)
""'93.35937500","'93.35937500","'93.35937500","'93.35937500","'93.35937500","'93.35937500",
"'87.10937500","'87.74414063","'89.89257813","'82.66601563","'88.18359375","'89.69726563",
"'88.37890625","'89.01367188","'91.21093750","'83.88671875","'89.45312500","'90.96679688",
"'86.37695313","'87.01171875","'89.16015625","'81.98242188","'87.45117188","'88.91601563",
