"'Table 3-Bauhinia,","'","'bauhinia:","'seed and","'germination data",
"'","'Seeds/wt","'","'Germination","'*",
"'Species","'/kg","'/lb","'Period (days)","'Percentage",
"'B. monandra","'5,680","'2,576","'4","'100",
"'B. purpured","'4,670","'2,118","'4","'99",
"'B. variegata","'4,950","'2,245","'4","'77",
,,,,

'Confidence Scores % (Table Cell)
""'92.87109375","'92.87109375","'92.87109375","'92.87109375","'92.87109375",
"'54.68750000","'91.40625000","'91.40625000","'90.52734375","'90.52734375",
"'54.68750000","'81.20117188","'80.41992188","'87.30468750","'84.22851563",
"'88.91601563","'81.00585938","'80.22460938","'87.10937500","'83.98437500",
"'79.05273438","'72.02148438","'71.33789063","'77.44140625","'74.70703125",
"'89.01367188","'81.10351563","'80.37109375","'87.25585938","'84.13085938",
