"","datasetID","study","genus","species","variety","provLatLonAlt","treatment","storageType","storageNoStratTemp","storageNoStratDur","storageDetails","scarifTypeGen","scarifTypeSpe","chemicalCor","chemicalConcent","soaking","soaked.in","soaking.duration","chillTemp","chillDuration","chillTempUnc","chillTempCycle","chillLightCycle","stratSequence_condensed","stratTemp_condensed","stratDur_condensed","germTempGen","germTemp","germDuration","germTempClass","germTempDay","germTempNight","germPhotoperiod","germPhotoperiodDay","germPhotoperiodNight","other.treatment","responseVar","responseValueNum","uniqueID","genusspecies","storConditions"
"13317","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","1","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,863,"Picea_glauca","NA NA NA"
"13328","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","2","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,864,"Picea_glauca","NA NA NA"
"13331","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","3","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,865,"Picea_glauca","NA NA NA"
"13332","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","4","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,866,"Picea_glauca","NA NA NA"
"13333","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","5","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",3.056,867,"Picea_glauca","NA NA NA"
"13334","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","6","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",14.167,868,"Picea_glauca","NA NA NA"
"13335","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","7","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",46.574,869,"Picea_glauca","NA NA NA"
"13336","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","8","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",71.759,870,"Picea_glauca","NA NA NA"
"13337","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","9","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",87.13,871,"Picea_glauca","NA NA NA"
"13318","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","10","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",91.759,872,"Picea_glauca","NA NA NA"
"13319","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","11","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",92.315,873,"Picea_glauca","NA NA NA"
"13320","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","12","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",93.241,874,"Picea_glauca","NA NA NA"
"13321","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","13","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.352,875,"Picea_glauca","NA NA NA"
"13322","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","14","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.352,876,"Picea_glauca","NA NA NA"
"13323","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","15","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.352,877,"Picea_glauca","NA NA NA"
"13324","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","16","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.352,878,"Picea_glauca","NA NA NA"
"13325","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","17","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.537,879,"Picea_glauca","NA NA NA"
"13326","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","18","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.907,880,"Picea_glauca","NA NA NA"
"13327","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","19","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",95.093,881,"Picea_glauca","NA NA NA"
"13329","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","20","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.907,882,"Picea_glauca","NA NA NA"
"13330","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","21","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",94.537,883,"Picea_glauca","NA NA NA"
"13359","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","1","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,926,"Picea_glauca","NA NA NA"
"13370","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","2","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,927,"Picea_glauca","NA NA NA"
"13373","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","3","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,928,"Picea_glauca","NA NA NA"
"13374","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","4","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,929,"Picea_glauca","NA NA NA"
"13375","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","5","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,930,"Picea_glauca","NA NA NA"
"13376","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","6","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",2.13,931,"Picea_glauca","NA NA NA"
"13377","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","7","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",4.537,932,"Picea_glauca","NA NA NA"
"13378","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","8","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",11.389,933,"Picea_glauca","NA NA NA"
"13379","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","9","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",22.87,934,"Picea_glauca","NA NA NA"
"13360","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","10","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",38.056,935,"Picea_glauca","NA NA NA"
"13361","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","11","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",50.833,936,"Picea_glauca","NA NA NA"
"13362","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","12","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",59.167,937,"Picea_glauca","NA NA NA"
"13363","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","13","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",63.056,938,"Picea_glauca","NA NA NA"
"13364","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","14","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",66.574,939,"Picea_glauca","NA NA NA"
"13365","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","15","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",66.759,940,"Picea_glauca","NA NA NA"
"13366","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","16","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",68.796,941,"Picea_glauca","NA NA NA"
"13367","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","17","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",69.907,942,"Picea_glauca","NA NA NA"
"13368","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","18","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",71.204,943,"Picea_glauca","NA NA NA"
"13369","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","19","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",71.574,944,"Picea_glauca","NA NA NA"
"13371","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","20","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",72.685,945,"Picea_glauca","NA NA NA"
"13372","liu13","exp2","Picea","glauca",NA,"54.43333333 -128.75 850","thermopriming.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440",NA,NA,NA,NA,NA,NA,NA,NA,"23.3333333333333","20/30","21","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",72.87,946,"Picea_glauca","NA NA NA"
"13191","liu13","exp2","Picea","glauca",NA,"50.25 -118.166667 1190","moist.chilling.thermoprime.15",NA,NA,NA,NA,NA,NA,NA,"0","Y","water","1440","2","21",NA,NA,NA,"cold","2","21","23.3333333333333","20/30","1","alternating","30","20","8/16","8","16","thermopriming.15degrees.3days","percent.germ",0,989,"Picea_glauca","NA NA NA"
