"'Table I -Psorothamnus, indigobush:","'nomenclature and occurrence","'",
"'Scientific name & synonyms(s)","'Common name(s)","'Occurrence",
"'P. arborescens (Torr. ex Gray) Barneby Dalea arborescens Torr. ex. Gray. Parosela arborescens Heller Parosela neglecta Parish","'indigobush,* Mojave dalea","'San Bernadino Mtns, Mojave Desert, S Nevada, Mexico",
"'P. arborescens var. arborescens (Torr. ex Gray) Barneby","'Mojave indigobush, Saunder dalea","'SW Mojave Desert, Mexico",
"'P. arborescens var. minutifolius (Parish) Barneby","'Johnson dalea","'Mojave Desert, S Nevada",
"'P. arborescens var. simplifolius (Parish) Barneby P. californica Dalea californica S. Wats.","'California dalea","'Mojave Desert & San Bernadino Mtns.",
"'P. emoryi (Gray) Rydb. Dalea emoryi Gray","'dyeweed,* dyebush","'Mojave & Sonoran Deserts",
"'P. fremontii (Torr. Ex Gray) Barneby Dalea fremontii Torr.","'Fremont dalea","'Desert mtns to S Utah, Arizona",
"'P. polydenius (Torr. ex S. Wats.) Rydb.","'Nevada dalea, Nevada smokebush","'Mojave Desert",
"'P. schottii (Torr.) Barneby Dalea schottii Torr.; Parosela schottii Heller","'indigobush, Schott dalea","'Sonoran Desert of Arizona & Mexico",
"'P. spinosus (Gray) Barneby Dalea spinosa Gray; Parosela spinosa Heller","'smoketree, smokebush","'California deserts to Arizona & NW Mexico",
,,

'Confidence Scores % (Table Cell)
"'84.27734375","'84.27734375","'84.27734375",
"'88.76953125","'87.40234375","'91.01562500",
"'93.89648438","'92.38281250","'96.28906250",
"'67.08984375","'66.01562500","'68.79882813",
"'69.09179688","'68.01757813","'70.84960938",
"'93.31054688","'91.84570313","'95.70312500",
"'84.81445313","'83.44726563","'86.96289063",
"'87.40234375","'86.03515625","'89.64843750",
"'87.93945313","'86.57226563","'90.18554688",
"'86.08398438","'84.71679688","'88.23242188",
"'92.04101563","'90.62500000","'94.38476563",
