"'Table 3-Morus,","'mulberry:","'height,","'seed-bearing age,","'seedcrop frequency,","'and fruit ripeness","'criteria",
"'","'Height at","'Year first","'Minimum seed-bearing","'Years between","'Fruit ripeness","'criteria",
"'","'maturity (m)","'cultivated","'age (yr)","'large crops","'Preripe color","'Ripe color",
"'M. alba","'3-14","'1700s","'5","'-","'White","'White, pinkish, or purplish",
"'M. microphylla","'7.5","'-","'-","'-","'Dark green","'Red, purple, or black",
"'M. nigra","'10","'1548","'-","'Yearly","'Greenish red","'Purple to black",
"'M. rubra","'12","'1629","'10","'2-3","'-","'Dark red, dark purple to black",
,,,,,,

'Confidence Scores % (Table Cell)
"'94.28710938","'94.28710938","'94.28710938","'94.28710938","'94.28710938","'94.28710938","'94.28710938",
"'48.53515625","'51.56250000","'93.31054688","'94.87304688","'93.65234375","'85.54687500","'85.54687500",
"'48.53515625","'51.56250000","'93.31054688","'94.87304688","'93.65234375","'84.37500000","'88.57421875",
"'70.45898438","'75.53710938","'78.95507813","'81.54296875","'80.95703125","'77.49023438","'81.29882813",
"'65.23437500","'69.92187500","'73.04687500","'75.48828125","'74.90234375","'71.72851563","'75.24414063",
"'67.87109375","'72.75390625","'76.02539063","'78.56445313","'77.97851563","'74.65820313","'78.32031250",
"'78.22265625","'83.83789063","'87.59765625","'90.52734375","'89.84375000","'85.98632813","'90.23437500",
