"'Table 3-Celtis, hackberry:","'height, seed-bearing","'age, and","'fruit color","'","'",
"'","'Height at","'Year first","'Minimum seed-bearing","'Fruit","'color",
"'Species","'maturity (m)","'cultivated","'age (yrs)","'Preripe","'Ripe",
"'C. laevigata","'18-24","'1811","'15","'Green","'Dark orange to red",
"'C. laevigata var. reticulata","'9-14","'1890","'-","'","'Orange-red or yellow",
"'C. occidentalis","'9-40","'1656","'-","'Orange-red","'Dark reddish purple",
,,,,,

'Confidence Scores % (Table Cell)
""'91.84570313","'91.84570313","'91.84570313","'91.84570313","'91.84570313","'91.84570313",
"'94.23828125","'93.94531250","'94.58007813","'94.92187500","'87.74414063","'87.74414063",
"'94.23828125","'93.94531250","'94.58007813","'94.92187500","'77.00195313","'80.02929688",
"'79.05273438","'76.26953125","'76.95312500","'78.17382813","'73.68164063","'76.56250000",
"'72.94921875","'70.36132813","'70.99609375","'72.16796875","'68.01757813","'70.65429688",
"'89.25781250","'86.08398438","'86.81640625","'88.23242188","'83.15429688","'86.42578125",
