"'Table 3-Pseudotsuga,","'Douglas-fir: height,","'seed-bearing age, crop","'frequency, and cone length","'",
"'Species","'Mature height (m)","'Minimum seed-bearing age (yr)","'Years between large seedcrops","'Cone length (cm)",
"'P. macrocarpa","'9-30","'20*","'-","'11-17",
"'P. menziesii var. glauca","'23-49","'20","'3-10","'4-7",
"'var. menziesii","'27-91","'7-10+","'2-11","'6-10",
,,,,

'Confidence Scores % (Table Cell)
"'93.31054688","'93.31054688","'93.31054688","'93.31054688","'93.31054688",
"'89.79492188","'90.77148438","'92.82226563","'92.77343750","'94.23828125",
"'72.36328125","'73.14453125","'74.80468750","'74.75585938","'75.92773438",
"'36.25488281","'36.66992188","'37.50000000","'37.47558594","'38.06152344",
"'63.08593750","'63.76953125","'65.23437500","'65.18554688","'66.16210938",
