"'","'Louisiana","'Mississippi",
"'Medium","'Water","'Blotter paper",
"'Temperature (C)","'24-34","'30",
"'Light","'Yes","'No",
"'Test duration (days)","'30","'10",
"'Germination (%)","'86","'78",
"'No. of samples","'4","'4",
,,

'Confidence Scores % (Table Cell)
""'72.46093750","'70.21484375","'72.50976563",
"'71.77734375","'69.58007813","'71.82617188",
"'91.55273438","'88.72070313","'91.65039063",
"'89.94140625","'87.15820313","'90.03906250",
"'91.06445313","'88.23242188","'91.16210938",
"'91.35742188","'88.52539063","'91.45507813",
"'93.35937500","'90.47851563","'93.45703125",
