"'Table I-Prunus, cherry, peach,","'and plum: nomenclature,","'growth habit,","'and occurrence (continued)",
"'Scientific name synonym(s)","'Common name(s)","'Growth habit","'Occurrence",
"'P. laurocerasus L.","'laurel cherry, cherry-laurel","'Tree (evergreen)","'SE Europe, SW Asia",
"'P. mahaleb L. Cerasus mahaleb Mill.","'mahaleb cherry, mahaleb, St. Lucie cherry, perfumed cherry","'Tree","'W Asia & Europe; naturalized locally in SW Canada & NE US",
"'P maritima Marsh.","'beach plum","'Shrub","'Maine to Delaware",
"'P. munsoniana W.Wight & Hedrick","'wildgoose plum, Munson plum","'Tree or shrub","'Kansas, Kentucky, Texas & N Mississippi; naturalized E to S Ohio & Georgia",
"'P. padus L. P. racemosa Lam. Padus racemosa (Lam.) Schneid. Cerasus padus (L.) DC.","'European bird cherry, mayday tree","'Tree","'Europe & N Asia to Korea & Japan; spread from cultivation in Canada & NE US",
"'P. pensylvanica L.f. P. persicifolia Desf. P. montana Marsh. P. lanceolata Willd.","'pin cherry, fire cherry, wild red cherry, bird cherry","'Tree or shrub","'Newfoundland to British Columbia S to Colorado, South Dakota, Pennsylvania, & in mtns to Georgia",
"'P. persica (L.) Batsch Amygdalus persica L. Persica vulgaris Mill.","'peach, common peach","'Tree","'China; naturalized locally, New England, S Ontario & Michigan to E Texas & Florida",
"'P. pumila L. P. depressa Pursh","'sand cherry","'Shrub","'New Brunswick to Manitoba, Illinois, & New Jersey",
"'P. pumila var. besseyi Bailey (Gleason) P. prunella Daniels P. pumila besseyi (Bailey) Waugh. P. susquehanae Willd. Cerasus canadensis Mill.","'Bessey cherry, western sand cherry, Rocky Mountain cherry","'Shrub","'Manitoba to Wyoming S to Kansas & Colorado",
"'P. serotina Ehrh. P. virginiana L. Padus virginiana (L.) Mill. Padus serotina Borkh.","'black cherry, rum cherry, wild cherry wild black cherry,","'Tree","'Nova Scotia, S Ontario & Minnesota to E Nebraska, E Texas, & central Florida; also in Mexico & Guatemala",
"'P. spinosa L.","'sloe, blackthorn","'Shrub or tree","'Europe, N Africa, & W Asia; naturalized locally in SE Canada & NE US",
"'P. subcordata Benth.","'Klamath plum, Pacific plum, Sierra plum, western plum","'Tree or shrub","'W & S Oregon to central California",
"'P. tomentosa Thunb. P. trichocarpa Bge. Cerasus tomentosa Wall.","'Manchu cherry, Nanking cherry downy cherry","'Shrub","'China, Japan, & Himalayas; central & N Great Plains",
"'P. umbellata Ell.","'hog plum","'Tree","'North Carolina to Florida, Alabama, & Mississippi",
"'P. virginiana L. P. nana DuRoi P. demissa (Nutt.) D. Dietr. Padus nana (DuRoi) Borkh.","'common choke cherry","'Tree or shrub","'Newfoundland to British Columbia, S to S California, New Mexico, Kansas, Illinois, Maryland, & S in mtns to Georgia",
,,,

'Confidence Scores % (Table Cell)
"'90.03906250","'90.03906250","'90.03906250","'90.03906250",
"'94.18945313","'93.60351563","'91.65039063","'95.60546875",
"'89.69726563","'89.11132813","'87.30468750","'91.01562500",
"'92.72460938","'92.13867188","'90.23437500","'94.09179688",
"'54.68750000","'54.34570313","'53.22265625","'55.51757813",
"'68.45703125","'68.06640625","'66.65039063","'69.53125000",
"'91.35742188","'90.82031250","'88.96484375","'92.77343750",
"'94.18945313","'93.60351563","'91.65039063","'95.60546875",
"'92.33398438","'91.79687500","'89.89257813","'93.70117188",
"'82.47070313","'81.98242188","'80.27343750","'83.69140625",
"'93.60351563","'93.06640625","'91.11328125","'95.01953125",
"'93.21289063","'92.67578125","'90.72265625","'94.62890625",
"'82.86132813","'82.32421875","'80.61523438","'84.08203125",
"'91.99218750","'91.45507813","'89.55078125","'93.40820313",
"'90.86914063","'90.33203125","'88.42773438","'92.23632813",
"'76.56250000","'76.07421875","'74.51171875","'77.68554688",
"'95.06835938","'94.48242188","'92.52929688","'96.53320313",
