"'Table 3-Elaeagnus,","'elaeagnus:","'height; seed-bearing","'age, seedcrop","'frequency, and fruit","'ripeness criteria","'",
"'","'Height at","'Year first","'Minimum seed-bearing","'Years between large","'Fruit","'ripeness criteria",
"'Species","'maturity (m)","'cultivated","'age (yr)","'seedcrops","'Preripe color","'Ripe color",
"'E. angustifolia","'46-9","'Long cultivated","'>3","'3","'Whitish to silvery I","'Silver-gray outer; emon-yellow inside",
"'E. commutata","'1.8-4.6","'1813","'-","'1-2","'Silvery green","'Silver",
"'E. umbellata","'0.9-3.7","'1830","'6","'-","'Silvery, with","'Red-pink brown scales",
,,,,,,

'Confidence Scores % (Table Cell)
""'91.69921875","'91.69921875","'91.69921875","'91.69921875","'91.69921875","'91.69921875","'91.69921875",
"'89.25781250","'92.62695313","'94.62890625","'95.16601563","'95.11718750","'90.47851563","'90.47851563",
"'89.25781250","'92.62695313","'94.62890625","'95.16601563","'95.11718750","'85.88867188","'86.71875000",
"'88.23242188","'89.01367188","'89.06250000","'90.03906250","'90.67382813","'88.57421875","'89.45312500",
"'73.58398438","'74.26757813","'74.31640625","'75.14648438","'75.68359375","'73.87695313","'74.60937500",
"'85.54687500","'86.32812500","'86.42578125","'87.35351563","'87.98828125","'85.93750000","'86.76757813",
