"","Species","Flowering","Fruit.ripening","Seed.dispersal","pdf_table_number","genus_name","Color.of.ripe.fruit","Height.of.mature.trees..m.","Year.first.cultivated","Location","Color.of.ripe.fruits","Fruit.drop","Location....altitude.","Location....elevation.","Height.at.maturity..m.","Growth.habit...maximum.height","Flower.color","Flowering.habit","Dispersal","Cone.ripening","Seed.ripening...dispersal","Origin","Color.of.ripe.fruit.","Seed.size..mm.","Diam.of.ripe.fruit..mm.","Cleaned..kg","seeds.wt..lb","Fruit...seed.ripening","Location...elevation..m.","Tree.ht..m.","Age..yrs..","Interval..yrs."
"1","A. circinatum","Mar-June","Sept-Oct","Oct-Nov","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","A. ginnala","Apr-June","Aug-Sept","Sept-Jan","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","A. glabrum var. glabrum","Apr-June","Aug-Oct","Sept-Feb","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","A. macrophyllum","Apr-May","Sept-Oct","Oct-Mar","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","A. negundo","Mar-May","Aug-Oct","Sept-Mar","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","A. palmatum","May-June","Aug-Sept","Sept-Oct","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","A. pensylvanicum","May-June","Sept-Oct","Oct-Feb","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","A. platanoides","Apr-June","Sept-Oct","Oct-Nov","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","A. pseudoplatanus","Apr-June","Aug-Oct","Sept-Nov","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","A. rubrum","Mar-May","Apr-June","Apr-July","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","A. saccharinum","Feb-May","Apr-June","Apr-June","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","A. saccharum","Mar-May","Sept-Oct","Oct-Dec","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","A. spicatum","May-June","Sept-Oct","Oct-Dec","3","Acer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","S. nigra","","","","2","Sambucus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
