"'Table 2-Malus,","'apple: phenology","'of flowering and","'fruiting, color of ripe fruit,","'and height of mature","'trees",
"'Species","'Flowering","'Fruit ripening","'Color of ripe fruit","'Height of mature trees (m)","'Year first cultivated",
"'M. baccata","'May","'Aug-Oct","'Red or yellow","'12.2","'1784",
"'M. coronaria","'Mar-May","'Sept-Nov","'Yellow-green","'9.2","'1724",
"'M. floribunda","'May","'-","'Red or yellow","'3.6-10.0","'1862",
"'M. fusca","'-","'Oct-Nov","'Green-yellow to yellow & red","'8-12.2","'1836",
"'M. ioensis","'May-June","'Sept-Oct","'Greenish waxy","'-","'1885",
"'M. pumila","'May","'Aug-Oct","'Yellow to red","'15.4","'Ancient times",
"'M. X robusta","'Apr-May","'-","'Red or yellow-green","'-","'1815",
"'M. sargentii","'-","'","'Red","'1.8-2.5","'-",
,,,,,

'Confidence Scores % (Table Cell)
"'93.50585938","'93.50585938","'93.50585938","'93.50585938","'93.50585938","'93.50585938",
"'92.38281250","'91.65039063","'92.87109375","'94.48242188","'94.67773438","'92.82226563",
"'85.54687500","'84.86328125","'85.98632813","'87.45117188","'87.69531250","'85.98632813",
"'76.56250000","'75.97656250","'77.00195313","'78.27148438","'78.46679688","'76.95312500",
"'85.54687500","'84.91210938","'86.03515625","'87.50000000","'87.74414063","'86.03515625",
"'47.99804688","'47.60742188","'48.26660156","'49.07226563","'49.19433594","'48.24218750",
"'86.96289063","'86.27929688","'87.45117188","'88.91601563","'89.16015625","'87.40234375",
"'83.00781250","'82.37304688","'83.49609375","'84.91210938","'85.10742188","'83.44726563",
"'82.17773438","'81.54296875","'82.66601563","'84.08203125","'84.27734375","'82.61718750",
"'85.30273438","'84.61914063","'85.79101563","'87.20703125","'87.45117188","'85.74218750",
