"'Table 5-Mahonia,","'","'Oregon-grape:","'stratification","'periods,","'germination test","'conditions,","'and percentage","'germination","'","'","'","'",
"'","'Cold strati","'Daily","'","'Germination","'test conditions","'","'Germination","'rate","'","'","'","'",
"'","'fication*","'light","'","'Temp","'(C)","'","'Amount","'","'Percent","'germination","'Purity","'Soundness",
"'Species","'(days)","'(hrs)","'Medium","'Day","'Night","'Days","'(%)","'Days","'Avg (%)","'Samples","'(%)","'(%)",
"'M. aquifolium","'90","'8","'Sand or perlite","'30","'20","'30","'22","'12","'25","'I","'95","'99",
"'M. fremontii","'0","'","'-","'-","'-","'-","'","'","'85","'2+","'90","'90+",
"'M. nevinii","'90","'","'Soil","'-","'-","'95","'","'","'77","'I","'","'",
"'M. repens","'196:","'-","'Wet paper","'21","'21","'10","'62+","'150","'74","'I","'90","'",
,,,,,,,,,,,,

'Confidence Scores % (Table Cell)
"'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875","'73.73046875",
"'67.57812500","'78.71093750","'82.03125000","'91.84570313","'91.84570313","'91.84570313","'91.84570313","'84.66796875","'84.66796875","'74.46289063","'74.46289063","'58.05664063","'61.96289063",
"'67.57812500","'78.71093750","'82.03125000","'56.39648438","'56.39648438","'56.39648438","'56.39648438","'51.85546875","'50.19531250","'74.46289063","'74.46289063","'58.05664063","'61.96289063",
"'67.57812500","'78.71093750","'82.03125000","'79.15039063","'76.22070313","'80.22460938","'77.05078125","'51.85546875","'50.19531250","'78.85742188","'75.34179688","'58.05664063","'61.96289063",
"'81.98242188","'78.66210938","'75.63476563","'80.17578125","'77.19726563","'81.25000000","'78.02734375","'79.24804688","'77.29492188","'79.88281250","'76.26953125","'79.34570313","'82.56835938",
"'73.92578125","'70.94726563","'68.21289063","'72.31445313","'69.62890625","'73.29101563","'70.36132813","'71.48437500","'69.67773438","'72.02148438","'68.79882813","'71.53320313","'74.46289063",
"'79.78515625","'76.56250000","'73.63281250","'78.02734375","'75.14648438","'79.05273438","'75.92773438","'77.09960938","'75.19531250","'77.73437500","'74.21875000","'77.19726563","'80.32226563",
"'89.69726563","'86.08398438","'82.76367188","'87.69531250","'84.47265625","'88.91601563","'85.35156250","'86.71875000","'84.57031250","'87.40234375","'83.44726563","'86.81640625","'90.33203125",
