"'Table 2-Mahonia, species used for","'Oregon-grape: occurrence of conservation planting.",
"'Species","'Occurrence",
"'M. aquifolium","'British Columbia to Alberta, S to W Montana, W Idaho, through Washington & Oregon to California",
"'M. fremonti","'Extreme W Texas, New Mexico, Arizona, California, Colorado, Utah, & Nevada at 1,220 to 2,130 m, & in Baja California & Sonora, Mexico",
"'M. haematocarpa","'Dry, sunny sites up to 1,340 m in W Texas, Colorado, New Mexico, Arizona, & adjacent Mexico",
"'M. nervosa","'British Columbia S to central California, mainly W of Cascades in Oregon & Washington, E to N Idaho",
"'M. nevinii","'California",
"'M. repens","'Montana to British Columbia, S to New Mexico & California, including W South Dakota",
"'Source: Rudolf (1974).","'",
,

'Confidence Scores % (Table Cell)
"'87.25585938","'87.25585938",
"'64.74609375","'86.27929688",
"'62.20703125","'82.95898438",
"'70.36132813","'93.79882813",
"'69.58007813","'92.72460938",
"'70.21484375","'93.55468750",
"'56.93359375","'75.83007813",
"'69.97070313","'93.21289063",
"'58.69140625","'78.27148438",
