"datasetID","study","entered.by","genus","species","variety","woody","crop","source.population","provenance.lat","provenance.long","provenance.altitude","continent","no.indiv.collected","year.collected","year.germination","storage.type","storage.time","storage.humidity","storage.temp","treatment","chill.temp","chill.duration","germ.temp","other.treatment","photoperiod","chemical","chemcial.concent","trt.duration","scarification","scarif.type","soaking","soaked.in","soaking.duration","seed.mass.given","respvar","response","error.type","resp.error","reps","n.per.rep","germ.duration","germ.tim.zero","figure","Notes"
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","5",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","0.264","SD","0",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","7.5",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","0.528","SD","0",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","10",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","77.045","SD","6.7749999999999915",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","12.5",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","88.918","SD","1.7979999999999876",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","15",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","91.557","SD","7.3819999999999908",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","17.5",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","81.794","SD","4.6779999999999973",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","20",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","90.237","SD","5.2540000000000049",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","22.5",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","89.182","SD","4.9819999999999993",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","25",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","55.673","SD","9.313999999999993",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","27.5",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","43.272","SD","3.6780000000000044",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","30",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","43.008","SD","3.9420000000000002",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp1","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15","0","32.5",NA,"0",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","36.939","SD","6.828000000000003",NA,50,"21",NA,"Fig 1",NA
"Acosta12","exp2","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15",NA,"5/15",NA,"12",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","248",NA,"NA",NA,50,"21",NA,"Fig 2",NA
"Acosta12","exp2","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15",NA,"10/20",NA,"12",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","169.333",NA,"NA",NA,50,"21",NA,"Fig 2",NA
"Acosta12","exp2","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15",NA,"15/25",NA,"12",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","177.333",NA,"NA",NA,50,"21",NA,"Fig 2",NA
"Acosta12","exp2","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","temperature","25/15",NA,"20/30",NA,"12",NA,NA,NA,NA,NA,"Y","water",NA,"yes","per.germ","241.333",NA,"NA",NA,50,"21",NA,"Fig 2","Can't find mol wt"
"Acosta12","exp3","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","osmotic potential","25/15",NA,NA,"osmotic potential 0","12","poly ethylene glycol","0",NA,NA,NA,"Y","poly ethylene glycol",NA,"yes","per.germ","93.076","SE","7.4830000000000041",NA,50,"21",NA,"Fig 3",NA
"Acosta12","exp3","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","osmotic potential","25/15",NA,NA,"osmotic potential -0.3","12","poly ethylene glycol","154g",NA,NA,NA,"Y","poly ethylene glycol",NA,"yes","per.germ","10.723","SE","2.6849999999999987",NA,50,"21",NA,"Fig 3",NA
"Acosta12","exp3","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","osmotic potential","25/15",NA,NA,"osmotic potential -0.4","12","poly ethylene glycol","191g",NA,NA,NA,"Y","poly ethylene glycol",NA,"yes","per.germ","6.066","SE","1.6310000000000002",NA,50,"21",NA,"Fig 3",NA
"Acosta12","exp3","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","osmotic potential","25/15",NA,NA,"osmotic potential -0.6","12","poly ethylene glycol","230g",NA,NA,NA,"Y","poly ethylene glycol",NA,"yes","per.germ","0.674","SE","1.5609999999999999",NA,50,"21",NA,"Fig 3",NA
"Acosta12","exp3","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","osmotic potential","25/15",NA,NA,"osmotic potential -0.9","12","poly ethylene glycol","297g",NA,NA,NA,"Y","poly ethylene glycol",NA,"yes","per.germ","0.429","SE","0",NA,50,"21",NA,"Fig 3",NA
"Acosta12","exp3","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","90-150","<15%","18-20","osmotic potential","25/15",NA,NA,"osmotic potential -1.3","12","poly ethylene glycol","350g",NA,NA,NA,"Y","poly ethylene glycol",NA,"yes","per.germ","0.429","SE","0",NA,50,"21",NA,"Fig 3",NA
"Acosta12","exp4","DL","Gomphrena","perennis",NA,NA,NA,"Santa Fe province, Argentina","-31.26","-60.56",NA,"South America",NA,"2009",NA,"room temp","0",NA,"20","dry storage","25/15",NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,"yes","per.germ","19.406","SE","NA",60,50,"21",NA,"Fig 4",NA
