"'Table 3-Corylus,","'hazel: seed","'yield data","'","'","'","'","'","'",
"'","'","'","'","'","'Cleaned","'seeds/weight","'","'",
"'","'Place of","'Seed","'wt/fruit wt","'Range","'","'Average","'","'",
"'Species","'collection","'kg/45 kg","'Ib/100 lb","'/kg","'/lb","'/kg","'/lb","'Samples",
"'C. americana","'-","'11-14","'25-30","'434-1,623","'197-736","'1,083","'491","'11",
"'C. avellana","'Europe","'27","'60","'353-1,180","'160-535","'803","'364","'244",
"'C. cornuta","'","'","'","'937-1,490","'425-676","'549","'249","'3",
"'var. californica","'California","'","'","'882-922","'400-418","'410","'186","'-",
,,,,,,,,

'Confidence Scores % (Table Cell)
""'74.07226563","'74.07226563","'74.07226563","'74.07226563","'74.07226563","'74.07226563","'74.07226563","'74.07226563","'74.07226563",
"'65.13671875","'68.70117188","'67.23632813","'67.23632813","'82.17773438","'82.17773438","'82.17773438","'82.17773438","'82.17773438",
"'65.13671875","'68.70117188","'67.23632813","'67.23632813","'92.33398438","'92.33398438","'89.20898438","'89.20898438","'57.86132813",
"'65.13671875","'68.70117188","'83.88671875","'86.42578125","'90.82031250","'90.42968750","'88.76953125","'87.84179688","'57.86132813",
"'89.79492188","'88.33007813","'82.66601563","'85.20507813","'89.55078125","'89.11132813","'87.50000000","'86.57226563","'90.18554688",
"'85.05859375","'83.69140625","'78.32031250","'80.71289063","'84.86328125","'84.47265625","'82.86132813","'82.03125000","'85.44921875",
"'82.27539063","'80.95703125","'75.73242188","'78.07617188","'82.03125000","'81.68945313","'80.17578125","'79.29687500","'82.61718750",
"'90.08789063","'88.67187500","'82.95898438","'85.49804688","'89.84375000","'89.45312500","'87.79296875","'86.86523438","'90.52734375",
