"'Table 2-Corylus, hazel:","'phenology of flowering","'and fruiting","'",
"'Species","'Location","'Flowering","'Fruit ripening",
"'C. americana","'","'Mar-May","'July-Sept",
"'C. avellana","'Europe","'Feb-Apr","'Sept-Oct",
"'C. cornuta","'Tennessee","'Jan-Feb","'Aug-Sept",
"'var. california","'California","'Jan-Feb","'Sept-Oct",
,,,

'Confidence Scores % (Table Cell)
""'89.64843750","'89.64843750","'89.64843750","'89.64843750",
"'90.13671875","'91.30859375","'89.69726563","'93.94531250",
"'86.62109375","'87.74414063","'86.18164063","'90.28320313",
"'83.74023438","'84.81445313","'83.34960938","'87.25585938",
"'72.41210938","'73.33984375","'72.07031250","'75.48828125",
"'86.57226563","'87.69531250","'86.18164063","'90.23437500",
