"'Table 4-Cornus,","'dogwood:","'seed yield data","'","'","'","'","'",
"'","'","'","'","'Cleaned","'stones/weight","'","'",
"'","'Stones/fruit","'wt","'","'Range","'Average","'","'",
"'Species","'kg/100 kg","'lbs/100 lb","'/kg","'/lb","'/kg","'/lb","'Samples",
"'C. alba","'-","'","'27,900-40,900","'12,700-18,600","'33,000","'15,000","'33",
"'C. alternifolia","'","'","'13,000-20,500","'5,900-9,300","'17,600","'8,000","'6",
"'C. amomum","'15-18","'17-20","'22,400-30,800","'10,200-14,000","'26,800","'12,200","'6",
"'C. canadensis","'","'","'129,800-169,400","'59,000-77,000","'147,400","'67,000","'2",
"'C. drummondii","'16-24","'18-27","'18,900-46,200","'8,600-21,000","'34,500","'15,700","'5",
"'C. florida","'17-41","'19-46","'7,300-13,600","'3,300-6,200","'9,900","'4,500","'II",
"'C. kousa","'-","'","'14,300-18,300","'6,500-8,300","'21,300","'9,700","'3",
"'C. mas","'13","'15","'3,500-7,500","'1,600-3,400","'5,000","'2,300","'22",
"'C. nuttallir*","'II","'12","'8,800-13,400","'4,000-6,100","'10,300","'4,700","'4",
"'C. racemosa","'16-22","'18-25","'22,400-33,700","'10,200-15,300","'28,600","'13,000","'11",
"'C. rugosa","'","'","'","'","'41,800","'19,000","'I",
"'C. sanguinea","'","'","'16,100-26,000","'7,300-11,800","'20,200","'9,200","'70",
"'C. sericea","'13-18","'15-20","'30,400-58,700","'13,800-26,700","'40,700","'18,500","'9",
"'C. sericea ssp. occidentalis","'","'","'","'","'73,500","'33,400","'",
,,,,,,,

'Confidence Scores % (Table Cell)
""'91.16210938","'91.16210938","'91.16210938","'91.16210938","'91.16210938","'91.16210938","'91.16210938","'91.16210938",
"'65.77148438","'85.44921875","'85.44921875","'81.59179688","'81.59179688","'81.59179688","'81.59179688","'66.35742188",
"'65.77148438","'85.44921875","'85.44921875","'89.11132813","'89.11132813","'88.08593750","'88.08593750","'66.35742188",
"'65.77148438","'86.52343750","'88.67187500","'92.62695313","'92.23632813","'89.35546875","'87.59765625","'66.35742188",
"'92.23632813","'86.86523438","'89.01367188","'93.01757813","'92.62695313","'89.69726563","'87.93945313","'91.30859375",
"'87.35351563","'82.27539063","'84.32617188","'88.08593750","'87.74414063","'84.96093750","'83.30078125","'86.47460938",
"'90.23437500","'84.96093750","'87.06054688","'90.96679688","'90.57617188","'87.74414063","'85.98632813","'89.30664063",
"'87.45117188","'82.37304688","'84.37500000","'88.18359375","'87.84179688","'85.05859375","'83.34960938","'86.57226563",
"'90.47851563","'85.15625000","'87.30468750","'91.21093750","'90.82031250","'87.98828125","'86.23046875","'89.55078125",
"'87.98828125","'82.81250000","'84.91210938","'88.67187500","'88.33007813","'85.54687500","'83.88671875","'87.06054688",
"'87.30468750","'82.22656250","'84.27734375","'88.03710938","'87.69531250","'84.91210938","'83.25195313","'86.42578125",
"'88.18359375","'83.00781250","'85.05859375","'88.86718750","'88.52539063","'85.74218750","'84.03320313","'87.25585938",
"'88.76953125","'83.59375000","'85.64453125","'89.50195313","'89.16015625","'86.32812500","'84.61914063","'87.89062500",
"'86.18164063","'81.15234375","'83.15429688","'86.91406250","'86.52343750","'83.83789063","'82.17773438","'85.30273438",
"'88.52539063","'83.34960938","'85.44921875","'89.25781250","'88.91601563","'86.13281250","'84.42382813","'87.64648438",
"'87.06054688","'81.93359375","'83.98437500","'87.74414063","'87.40234375","'84.66796875","'82.95898438","'86.13281250",
"'87.40234375","'82.32421875","'84.32617188","'88.13476563","'87.79296875","'85.00976563","'83.34960938","'86.52343750",
"'45.60546875","'43.01757813","'42.82226563","'43.40820313","'44.06738281","'44.55566406","'43.87207031","'44.26269531",
