"'Table I-Cornus, dogwood: nomenclature","'and occurrence","'",
"'Scientific name & synonym(s)","'Common name(s)","'Occurrence",
"'C. alba L. C. tatarica Mill.","'Tatarian dogwood","'Siberia to Manchuria & North Korea",
"'C. alternifolia L.f.","'alternate-leaf dogwood,","'Newfoundland to SE Manitoba, S to",
"'Swida alternifolia (L.f.) Small","'blue dogwood, pagoda dogwood","'Missouri & E Arkansas, E to Georgia",
"'C. amomum P. Mill.","'silky dogwood, kinnikinnik, red-willow","'Maine to Indiana, S to Georgia & Florida",
"'C. canadensis L.","'bunchberry, bunchberry","'S Greenland to Alaska, S to",
"'Chamaepericlymenum","'dogwood, dwarf cornel","'Maryland, W to South Dakota,",
"'canadense(L.) Aschers & Graebn. Cornella canadensis (L.) Rydb.","'","'New Mexico, & California",
"'C. controversa Hems.","'giant dogwood","'Japan, China, & Nepal",
"'C. drummondii C.A. Mey. C. priceae Small","'roughleaf dogwood","'S Ontario, Ohio, & Kentucky, W to Nebraska, S to Texas & Mississippi",
"'C. florida L. Cynoxylon floridum (L) Raf. ex. B.D. Jackson","'flowering dogwood, dogwood","'E United States",
"'C. kousa Hance","'Japanese dogwood, kousa dogwood","'Japan & Korea",
"'C. macrophylla Wall.","'bigleaf dogwood","'Japan, China, & Nepal",
"'C. mas L.","'cornelian-cherry, cornelian-cherry dogwood","'Central & S Europe & W Asia",
"'C. nuttallii Audubon ex Torr. & Gray","'Pacific dogwood, western flowering dogwood, mountain dogwood","'SW British Columbia, W Washington & Oregon, S in mtns to S California; also in central W Idaho",
"'C. officinalis Siebold & Zucc.","'Japanese cornelian-cherry, Japanese cornel dogwood","'Japan, Korea, & China",
"'C. racemosa Lam. C. foemina ssp. racemosa (Lam.) C. circinata L'Herit. I.S.Wilson C. paniculata L'Herit.","'gray dogwood, western dogwood","'Maine to Manitoba, S to Florida, W to Missouri & Oklahoma",
"'C. rugosa Lam. C. circinata L'Herit.","'roundleaf dogwood, roundleaved dogwood, roundleaf cornel","'Quebec to Manitoba, S to Virginia, W to NE lowa",
"'C. sanguinea L. C. sanguinea var. viridissima Dieck Swida sanguinea (L.) Opiz","'bloodtwig dogwood, common dogwood, dogberry, pegwood","'Europe",
"'C. sericea L. C. stolonifera Michx. C. baileyi Coult. & Evans Suida stolonifera (Michx.) Rydb.","'red-osier dogwood, American dogwood, kinnikinnik, squawbush","'Newfoundland to Alaska, S to California, New Mexico, & Nebraska, in NE US from Wisconsin to New York",
"'C. sericea ssp. occidentalis (Torr.& Gray) Fosberg","'western dogwood, California dogwood, creek dogwood","'S British Columbia to N Idaho, S to S California",
,,

'Confidence Scores % (Table Cell)
""'87.84179688","'87.84179688","'87.84179688",
"'94.82421875","'94.43359375","'95.84960938",
"'92.18750000","'91.74804688","'93.16406250",
"'40.16113281","'39.57519531","'40.16113281",
"'40.16113281","'38.11035156","'38.69628906",
"'40.16113281","'41.69921875","'42.33398438",
"'46.87500000","'46.65527344","'47.36328125",
"'40.03906250","'39.84375000","'40.45410156",
"'48.68164063","'48.46191406","'49.19433594",
"'83.25195313","'82.86132813","'84.13085938",
"'45.53222656","'45.33691406","'46.02050781",
"'52.00195313","'51.75781250","'52.53906250",
"'87.20703125","'86.81640625","'88.08593750",
"'67.52929688","'67.18750000","'68.21289063",
"'61.96289063","'61.66992188","'62.59765625",
"'44.87304688","'44.67773438","'45.36132813",
"'92.72460938","'92.28515625","'93.70117188",
"'47.53417969","'47.31445313","'48.04687500",
"'43.84765625","'43.65234375","'44.31152344",
"'61.13281250","'60.83984375","'61.76757813",
"'61.32812500","'61.03515625","'61.96289063",
"'87.54882813","'87.15820313","'88.47656250",
