table,measured,population,strart,year seed collected,after ripening duration,value,error,,,
3,germ percent,perry,0,2007,1,40,7.4,,,
3,germ percent,perry,1,2007,1,56.2,9,,,
3,germ percent,perry,2,2007,1,38.8,5.2,,,
3,germ percent,perry,3,2007,1,23.8,9.9,,,
3,germ percent,perry,4,2007,1,38.8,6.6,,,
3,germ percent,perry,0,2007,4,75,9.6,,,
3,germ percent,perry,1,2007,4,97.5,1.4,,,
3,germ percent,perry,2,2007,4,75,16.7,,,
3,germ percent,perry,3,2007,4,85,5.4,,,
3,germ percent,perry,4,2007,4,93.8,2.4,,,
3,germ percent,perry,0,2007,8,97.5,1.44,,,
3,germ percent,perry,1,2007,8,95,3.5,,,
3,germ percent,perry,2,2007,8,95,2,,,
3,germ percent,perry,3,2007,8,92.5,6,,,
3,germ percent,perry,4,2007,8,86.3,4.7,,,
3,germ percent,perry,0,2007,11,70,23.4,,,
3,germ percent,perry,1,2007,11,92.5,3.2,,,
3,germ percent,perry,2,2007,11,87.5,2.5,,,
3,germ percent,perry,3,2007,11,45,20.7,,,
3,germ percent,perry,4,2007,11,62.5,20.9,,,
3,germ percent,pilot,0,2007,1,1.3,1.3,,,
3,germ percent,pilot,1,2007,1,2.5,1.4,,,
3,germ percent,pilot,2,2007,1,5,3.5,,,
3,germ percent,pilot,3,2007,1,5,2,,,
3,germ percent,pilot,4,2007,1,5,2.9,,,
3,germ percent,pilot,0,2007,4,11.3,2.4,,,
3,germ percent,pilot,1,2007,4,40,8.2,,,
3,germ percent,pilot,2,2007,4,23.8,7.2,,,
3,germ percent,pilot,3,2007,4,13.8,4.7,,,
3,germ percent,pilot,4,2007,4,62.5,4.3,,,
3,germ percent,pilot,0,2007,8,22.5,8.3,,,
3,germ percent,pilot,1,2007,8,31.3,3.2,,,
3,germ percent,pilot,2,2007,8,48.8,3.8,,,
3,germ percent,pilot,3,2007,8,46.3,1.3,,,
3,germ percent,pilot,4,2007,8,45,8.4,,,
3,germ percent,pilot,0,2007,11,46.3,7.7,,,
3,germ percent,pilot,1,2007,11,37.5,14.8,,,
3,germ percent,pilot,2,2007,11,33.8,9.4,,,
3,germ percent,pilot,3,2007,11,27.5,9.2,,,
3,germ percent,pilot,4,2007,11,30,3.5,,,
3,germ percent,soldiers,0,2007,1,1.3,1.3,,,
3,germ percent,soldiers,1,2007,1,3.9,3.9,,,
3,germ percent,soldiers,2,2007,1,0,0,,,
3,germ percent,soldiers,3,2007,1,2.5,1.4,,,
3,germ percent,soldiers,4,2007,1,0,0,,,
3,germ percent,soldiers,0,2007,4,5,2.4,,,
3,germ percent,soldiers,1,2007,4,5,2.9,,,
3,germ percent,soldiers,2,2007,4,10,3.5,,,
3,germ percent,soldiers,3,2007,4,10,5.4,,,
3,germ percent,soldiers,4,2007,4,17.5,4.8,,,
3,germ percent,soldiers,0,2007,8,28.8,4.3,,,
3,germ percent,soldiers,1,2007,8,22.5,9.2,,,
3,germ percent,soldiers,2,2007,8,33.8,14.2,,,
3,germ percent,soldiers,3,2007,8,15,2.9,,,
3,germ percent,soldiers,4,2007,8,16.3,5.5,,,
3,germ percent,soldiers,0,2007,11,37.5,1.4,,,
3,germ percent,soldiers,1,2007,11,16.3,5.2,,,
3,germ percent,soldiers,2,2007,11,27.5,13.9,,,
3,germ percent,soldiers,3,2007,11,11.3,3.8,,,
3,germ percent,soldiers,4,2007,11,20,6.1,,,
3,germ percent,,,,,,,,,
3,germ percent,perry,0,2008,1,97.5,2.5,,,
3,germ percent,perry,1,2008,1,97.5,1.4,,,
3,germ percent,perry,2,2008,1,98.8,1.3,,,
3,germ percent,perry,3,2008,1,100,0,,,
3,germ percent,perry,4,2008,1,95,5.4,,,
3,germ percent,perry,0,2008,4,96.3,1.3,,,
3,germ percent,perry,1,2008,4,89,1,,,
3,germ percent,perry,2,2008,4,98.8,1.3,,,
3,germ percent,perry,3,2008,4,98.8,1.3,,,
3,germ percent,perry,4,2008,4,93.8,3.8,,,
3,germ percent,perry,0,2008,8,69,9.8,,,
3,germ percent,perry,1,2008,8,73,2.9,,,
3,germ percent,perry,2,2008,8,88.8,3.2,,,
3,germ percent,perry,3,2008,8,76.3,3.2,,,
3,germ percent,perry,4,2008,8,81.3,5.9,,,
3,germ percent,perry,0,2008,11,60,5.4,,,
3,germ percent,perry,1,2008,11,46,12.6,,,
3,germ percent,perry,2,2008,11,61.3,6.6,,,
3,germ percent,perry,3,2008,11,70,10.6,,,
3,germ percent,perry,4,2008,11,75,5.4,,,
3,germ percent,pilot,0,2008,1,25,7.4,,,
3,germ percent,pilot,1,2008,1,6.3,4.7,,,
3,germ percent,pilot,2,2008,1,25,12.4,,,
3,germ percent,pilot,3,2008,1,46.3,4.7,,,
3,germ percent,pilot,4,2008,1,33.8,13.3,,,
3,germ percent,pilot,0,2008,4,36.3,4.3,,,
3,germ percent,pilot,1,2008,4,41,5.5,,,
3,germ percent,pilot,2,2008,4,2.5,2.5,,,
3,germ percent,pilot,3,2008,4,55,8.4,,,
3,germ percent,pilot,4,2008,4,18.8,4.3,,,
3,germ percent,pilot,0,2008,8,37.5,7.5,,,
3,germ percent,pilot,1,2008,8,32.5,6,,,
3,germ percent,pilot,2,2008,8,51.3,9,,,
3,germ percent,pilot,3,2008,8,32.5,6.6,,,
3,germ percent,pilot,4,2008,8,50,9.1,,,
3,germ percent,pilot,0,2008,11,12.5,7.8,,,
3,germ percent,pilot,1,2008,11,17.5,4.8,,,
3,germ percent,pilot,2,2008,11,13.8,3.8,,,
3,germ percent,pilot,3,2008,11,18.8,1.3,,,
3,germ percent,pilot,4,2008,11,28.8,8.3,,,
3,germ percent,soldiers,0,2008,1,15,3.5,,,
3,germ percent,soldiers,1,2008,1,7.5,3.2,,,
3,germ percent,soldiers,2,2008,1,6.3,3.2,,,
3,germ percent,soldiers,3,2008,1,11.3,2.4,,,
3,germ percent,soldiers,4,2008,1,3.8,2.4,,,
3,germ percent,soldiers,0,2008,4,65,11.7,,,
3,germ percent,soldiers,1,2008,4,50,3.5,,,
3,germ percent,soldiers,2,2008,4,53.8,6.6,,,
3,germ percent,soldiers,3,2008,4,38.8,6.3,,,
3,germ percent,soldiers,4,2008,4,26.3,4.3,,,
3,germ percent,soldiers,0,2008,8,31.3,4.3,,,
3,germ percent,soldiers,1,2008,8,32.5,7.8,,,
3,germ percent,soldiers,2,2008,8,30,4.1,,,
3,germ percent,soldiers,3,2008,8,26.3,8.3,,,
3,germ percent,soldiers,4,2008,8,32.5,10.3,,,
3,germ percent,soldiers,0,2008,11,25,11.7,,,
3,germ percent,soldiers,1,2008,11,1.3,1.3,,,
3,germ percent,soldiers,2,2008,11,6.3,2.4,,,
3,germ percent,soldiers,3,2008,11,8.8,5.5,,,
3,germ percent,soldiers,4,2008,11,8.8,2.4,,,
,,,,,,,,,,
4,germ rate,perry,0,2007,1,1.08 :t 0.022,,,1.08 ,0.022
,,perry,1,2007,1,1.87 :t 0.21,,,1.87 , 0.21
,,perry,2,2007,1,1.59 :t 0.28,,,1.59 , 0.28
,,perry,3,2007,1,0.79 :t 0.35,,,0.79 , 0.35
