"'Table I-Mahonia, Oregon-grape:","'nomenclature, height, and color","'of ripe fruit","'",
"'Scientific name & synonym","'Common name(s)","'Height at maturity (m)","'Color of ripe fruit",
"'M. aquifolium (Pursh) Nutt. B. cerberis aquifolium Pursh","'hollyleaf barberry, Oregon grapeholly","'0.6-3.0","'Blue-black, bloomy",
"'M. bealei (Fortune) Carr. B. bealei Fortune","'Beale Oregon-grape, leatherleaf mahonia","'1.8-3.0","'Light blue, bloomy",
"'M. fortunei (Lindl.) Fedde B. fortunei Lindl.","'Chinese mahonia","'1.5-1.8","'Purple-black",
"'M. fremontii (Torr.) Fedde B. fremontii Torr.","'Fremont mahonia","'0.9-4.6","'Bluish black",
"'M. haematocarpa (Woot.) Fedde B. haematocarpa Woot.","'red barberry","'0.9-3.7","'Blood red",
"'M. japonica (Thunb.) DC.","'Japanese mahonia","'1.8-3.0","'Blue",
"'M. nervosa (Pursh) Nutt. B. nervosa Pursh","'Cascades Oregon-grape, Cascades barberry","'0.3-1.8","'Deep blue, bloomy",
"'M. nevinii (Gray) Fedde B. nevinii Gray","'Nevin barberry","'0.9-1.8","'Yellowish red to deep red",
"'M. pinnata (Lag.) Fedde B. pinnata (Lag.)","'cluster mahonia","'2.4-3.0","'Pruinose blue",
"'M. repens (Lindl.) G. Don B. repens Lindl.","'Oregon-grape, creeping barberry","'0.3-2.4","'Purple, bloomy",
,,,

'Confidence Scores % (Table Cell)
"'65.13671875","'65.13671875","'65.13671875","'65.13671875",
"'92.38281250","'94.14062500","'89.94140625","'94.82421875",
"'82.56835938","'84.13085938","'80.37109375","'84.76562500",
"'69.82421875","'71.19140625","'67.96875000","'71.67968750",
"'89.79492188","'91.50390625","'87.45117188","'92.18750000",
"'86.91406250","'88.57421875","'84.61914063","'89.25781250",
"'89.45312500","'91.11328125","'87.06054688","'91.79687500",
"'57.17773438","'58.25195313","'55.61523438","'58.69140625",
"'79.73632813","'81.25000000","'77.63671875","'81.83593750",
"'85.35156250","'86.96289063","'83.05664063","'87.59765625",
"'72.70507813","'74.07226563","'70.75195313","'74.60937500",
"'40.01464844","'40.77148438","'38.94042969","'41.06445313",
