datasetID,study,entered.by,genus,species,variety,woody,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,humidity,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,respvar,response,resp.error,reps,n.per.rep,germ.duration,figure
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light,4,15,20,,0,,GA3,250,24h,N,,Y,sodium hypochlorite,,per.germ,29,1,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light,4,15,20,,0,,water,0,24h,N,,Y,sodium hypochlorite,,mgt,0,0,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light,4,15,20,,0,,GA3,100,24h,N,,Y,sodium hypochlorite,,mgt,16.9,1.5,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light,4,15,20,,0,,GA3,150,24h,N,,Y,sodium hypochlorite,,mgt,16.1,0.6,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light,4,15,20,,0,,GA3,250,24h,N,,Y,sodium hypochlorite,,mgt,16.5,1.1,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/moist/chill,4,15,20,,0,,water,0,24h,N,,Y,sodium hypochlorite,,per.germ,9,1,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/moist/chill,4,15,20,,0,,GA3,100,24h,N,,Y,sodium hypochlorite,,per.germ,64,6,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/moist/chill,4,15,20,,0,,GA3,150,24h,N,,Y,sodium hypochlorite,,per.germ,65,3,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/moist/chill,4,15,20,,0,,GA3,250,24h,N,,Y,sodium hypochlorite,,per.germ,68,6,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/moist/chill,4,15,20,,0,,water,0,24h,N,,Y,sodium hypochlorite,,mgt,12.2,0.5,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/moist/chill,4,15,20,,0,,GA3,100,24h,N,,Y,sodium hypochlorite,,mgt,7.3,0.6,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/moist/chill,4,15,20,,0,,GA3,150,24h,N,,Y,sodium hypochlorite,,mgt,10,0.1,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/moist/chill,4,15,20,,0,,GA3,250,24h,N,,Y,sodium hypochlorite,,mgt,9.5,0,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/scarification,4,15,20,,0,,0,0,24h,Y,80% H2SO4,Y,sodium hypochlorite,,per.germ,37,6,3,25,25,table 1
Arslan14,exp4,DL,Androsace,villosa,NA,N,"Uludag Mt, Turkey",,,2203,Europe,50,2009,,light/scarification,4,15,20,,0,,0,0,24h,Y,80% H2SO4,Y,sodium hypochlorite,,mgt,17.6,0.8,3,25,25,table 1
