db,genus,family,order,class,phylum,kingdom,division
ncbi,Abies,Pinaceae,Pinales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Acer,Sapindaceae,Sapindales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Achillea,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Aconitum,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Actinidia,Actinidiaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Adonis,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Aesculus,Sapindaceae,Sapindales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Agathis,Araucariaceae,Araucariales,Pinopsida,Streptophyta,Viridiplantae,NA
ncbi,Agrimonia,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Alepidea,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Allium,Amaryllidaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Alstromeria,NA,NA,NA,NA,NA,NA
ncbi,Amaranthus,Amaranthaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Ambrosia,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Amsonia,Apocynaceae,Gentianales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Andrographis,Acanthaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Androsace,Primulaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Anemone,Ranunculaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Angelica,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Anigozanthos,Haemodoraceae,Commelinales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Anisodus,Solanaceae,Solanales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Annona,Annonaceae,Magnoliales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Anthemis,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Arabidopsis,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Aralia,Araliaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Arbutus,Ericaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Aristotelia,Elaeocarpaceae,Oxalidales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Artemisia,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Arum,Araceae,Alismatales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Aruncus,Rosaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Asparagus,Asparagaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Asteraceae,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Astragalus,Fabaceae,Fabales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Atriplex,Chenopodiaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Avena,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Avicennia,Acanthaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Baccharis,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Banksia,Proteaceae,Proteales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Berberis,Berberidaceae,Ranunculales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Berchemia,Rhamnaceae,Rosales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Betonica,Lamiaceae,Lamiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Betula,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Bidens,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Bletilla,Orchidaceae,Asparagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Boari,NA,NA,NA,NA,NA,NA
ncbi,Borreria,Rubiaceae,Gentianales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Brachypodium,Poaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Brassica,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Brassicaceae,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Bupleurum,Apiaceae,Apiales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Cactaceae,Cactaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Calligonum,Polygonaceae,Caryophyllales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Camellia,Theaceae,Ericales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Camptotheca,Nyssaceae,Cornales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Capparis,Capparaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Capsella,Brassicaceae,Brassicales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Carex,Cyperaceae,Poales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Carpinus,Betulaceae,Fagales,Magnoliopsida,Streptophyta,Viridiplantae,NA
ncbi,Carthamus,Asteraceae,Asterales,Magnoliopsida,Streptophyta,Viridiplantae,NA
