"db","query","kingdom","division","class","order","family","phylum"
"itis","Berberis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae",NA
"itis","Berchemia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae",NA
"itis","Betonica",NA,NA,NA,NA,NA,NA
"itis","Betula","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae",NA
"itis","Bidens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Bletilla","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae",NA
"itis","Boari","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae",NA
"itis","Borreria",NA,NA,NA,NA,NA,NA
"itis","Brachypodium","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Brassica","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Brassicaceae","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Bupleurum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Cactaceae","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae",NA
"itis","Calligonum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae",NA
"itis","Camellia","Plantae","Tracheophyta","Magnoliopsida","Ericales","Theaceae",NA
"itis","Camptotheca","Plantae","Tracheophyta","Magnoliopsida","Cornales","Nyssaceae",NA
"itis","Capparis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Capparaceae",NA
"itis","Capsella","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Carex","Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae",NA
"itis","Carpinus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae",NA
"itis","Carthamus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Casuarina","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae",NA
"itis","Celtus",NA,NA,NA,NA,NA,NA
"itis","Centaurea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Cercis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Chenopodium","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae",NA
"itis","Chimonanthus",NA,NA,NA,NA,NA,NA
"itis","Chionanthus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae",NA
"itis","Cichorium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Cicuta","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Cistanche","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae",NA
"itis","Citrullus","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae",NA
"itis","Clematis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae",NA
"itis","Cleome","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae",NA
"itis","Clinopodium","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae",NA
"itis","Colutea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Combretum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae",NA
"itis","Corchorus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae",NA
"itis","Corema","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae",NA
"itis","Coreopsis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae",NA
"itis","Cornus","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae",NA
"itis","Corydalis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae",NA
"itis","Corylopsis","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Hamamelidaceae",NA
"itis","Corylus","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae",NA
"itis","Cotoneaster","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Crambe","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae",NA
"itis","Crataegus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae",NA
"itis","Cryptogramma","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae",NA
"itis","Cupressus","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae",NA
"itis","Cuscuta","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae",NA
"itis","Cynodon","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Cyperus","Plantae","Tracheophyta","Magnoliopsida","Poales","Cyperaceae",NA
"itis","Cypripedium","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Orchidaceae",NA
"itis","Cytisus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Dalbergia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae",NA
"itis","Daphne","Plantae","Tracheophyta","Magnoliopsida","Malvales","Thymelaeaceae",NA
"itis","Daphniphyllaceae","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Daphniphyllaceae",NA
"itis","Deginia",NA,NA,NA,NA,NA,NA
"itis","Dianthus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae",NA
"itis","Dichotomanthes",NA,NA,NA,NA,NA,NA
"itis","Digitaria","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Dioscorea","Plantae","Tracheophyta","Magnoliopsida","Dioscoreales","Dioscoreaceae",NA
"itis","Distichlis","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae",NA
"itis","Distylium",NA,NA,NA,NA,NA,NA
"itis","Dorema","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae",NA
"itis","Dracocephalum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae",NA
"itis","Dracontium","Plantae","Tracheophyta","Magnoliopsida","Alismatales","Araceae",NA
"itis","Echinacea",NA,NA,NA,NA,NA,NA
