"'Table 2-Pyrus, pear: flowering","'and fruiting dates*","'",
"'Species","'Bloom seasont","'Ripening season*",
"'P. amygdaliformis","'M-ML","'L",
"'P. betulifolia","'M-ML-L","'L",
"'P. calleryana","'E-EM-M","'L",
"'P. communis (wild types)","'EM-M-ML","'EM-M-ML-L",
"'P. communis (cultivars)","'E-EM-M-ML-L","'E-EM-M-ML-L",
"'P. cordata","'M-ML-L","'ML-L",
"'P. cossonii","'M-ML-L","'M-ML-L",
"'P. dimorphophylla","'E-M-ML","'L",
"'P. elaeagrifolia","'EM-M-ML","'ML",
"'P. fauriei","'EM-M-ML","'ML-L",
"'P. gharbiana","'ML","'ML",
"'P. glabra","'EM","'M-ML",
"'P. hondoensis","'EM-M-ML","'M-ML-L",
"'P. koehnei","'E-EM-M-ML","'L",
"'P. korshinskyi","'EM-M-ML","'EM-M-ML-L",
"'P. mamorensis","'ML","'L",
"'P. nivalis","'ML","'ML-L",
"'P. pashia","'E-EM-M-ML-L","'L",
"'P. pyrifolia (wild types)","'EM-M","'M-ML-L",
"'P. pyrifolia (cultivars)","'EM-M-ML","'EM-M-ML-L",
"'P. regelii","'M-ML","'ML",
"'P. salicifolia","'EM-M-ML","'ML-L",
"'P. syriaca","'EM-M","'ML-L",
"'P. ussuriensis (wild types)","'E-EM","'EM-M-M-L",
"'P. ussuriensis (cultivars)","'E-EM-M","'M-ML-L",
,,

'Confidence Scores % (Table Cell)
"'82.27539063","'82.27539063","'82.27539063",
"'93.89648438","'94.43359375","'95.45898438",
"'93.40820313","'93.94531250","'94.97070313",
"'89.06250000","'89.55078125","'90.57617188",
"'90.82031250","'91.30859375","'92.33398438",
"'91.06445313","'91.55273438","'92.57812500",
"'90.62500000","'91.11328125","'92.13867188",
"'92.77343750","'93.26171875","'94.28710938",
"'91.65039063","'92.13867188","'93.16406250",
"'91.65039063","'92.18750000","'93.21289063",
"'90.42968750","'90.96679688","'91.94335938",
"'90.33203125","'90.86914063","'91.84570313",
"'88.72070313","'89.20898438","'90.18554688",
"'90.47851563","'91.01562500","'91.99218750",
"'88.67187500","'89.16015625","'90.13671875",
"'91.21093750","'91.69921875","'92.72460938",
"'91.69921875","'92.23632813","'93.26171875",
"'91.25976563","'91.74804688","'92.77343750",
"'89.64843750","'90.13671875","'91.11328125",
"'91.55273438","'92.04101563","'93.06640625",
"'90.96679688","'91.45507813","'92.48046875",
"'89.89257813","'90.38085938","'91.35742188",
"'88.76953125","'89.30664063","'90.28320313",
"'90.77148438","'91.25976563","'92.28515625",
"'91.69921875","'92.23632813","'93.26171875",
"'88.62304688","'89.11132813","'90.08789063",
"'95.26367188","'95.80078125","'96.87500000",
