"'Table 4-Populus, poplar,","'cottonwood,","'aspen: seed","'weights by","'soil sieve size","'(20 to 50","'mesh)*","'","'",
"'","'","'","'","'Seeds","'(millions)/weight","'","'","'",
"'","'","'20-mesh","'28-mesh","'","'40-mesh","'","'50-mesh","'",
"'Species","'/g","'/oz","'/g","'/oz","'/g","'/oz","'/g","'/oz",
"'alba","'5.09","'2.31","'8.89","'4.03","'19.71","'8.94","'","'",
"'P. balsamifera","'","'","'7.90","'3.58","'8.69","'3.94","'","'",
"'spp. trichocarpa","'2.71","'1.23","'4.54","'2.06","'","'","'","'",
"'P. X canescens","'","'","'7.50","'3.40","'13.87","'6.29","'","'",
"'P. deltoides","'2.93","'1.33","'4.92","'2.23","'","'","'","'",
"'P. grandidentata","'","'","'","'","'21.52","'9.76","'39.58","'17.95",
"'P. tremula","'","'","'","'","'17.46","'7.92","'","'",
"'P. tremuloides","'","'","'13.19","'5.98","'18.46","'8.37","'23.62","'10.70",
"'Some hybrid crossest","'","'","'","'","'","'","'","'",
"'P tremuloides X P. tremula","'","'","'10.61","'4.81","'17.68","'8.02","'38.68","'17.54",
"'P. tremula X P. tremuloides","'","'","'18.43","'8.36","'44.10","'20.00","'","'",
"'P. tremuloides X P. canescens","'","'","'","'","'16.27","'7.38","'","'",
"'P. canescens X P. tremuloides","'","'","'7.74","'3.51","'13.38","'6.07","'35.57","'16.13",
"'P. grandidentata X P. alba","'","'","'","'","'23.09","'10.47","'47.83","'21.69",
"'P. alba X P. grandidentata","'4.81","'2.18","'10.52","'4.77","'15.79","'7.16","'35.10","'15.92",
"'P. grandidentata X P. canescens","'","'","'","'","'19.45","'8.82","'30.96","'14.04",
"'P. canescens X P. grandidentata","'","'-","'7.08","'3.21","'10.36","'4.70","'31.00","'14.06",
"'P. deltoides X P. balsamifera","'4.34","'1.97","'5.18","'2.35","'","'","'","'",
"'P. deltoides X P. nigra","'4.43","'2.01","'6.90","'3.13","'60.86","'27.60","'","'",
"'P. deltoides X P. trichocarpa","'3.00","'1.36","'4.54","'2.06","'","'","'","'",
"'P. trichocarpax P. balsamifera","'3.20","'1.45","'4.83","'2.19","'","'","'","'",
,,,,,,,,

'Confidence Scores % (Table Cell)
"'94.62890625","'94.62890625","'94.62890625","'94.62890625","'94.62890625","'94.62890625","'94.62890625","'94.62890625","'94.62890625",
"'88.52539063","'88.91601563","'88.91601563","'88.91601563","'88.91601563","'88.91601563","'88.91601563","'88.91601563","'88.91601563",
"'88.52539063","'89.89257813","'89.89257813","'90.47851563","'90.47851563","'91.60156250","'91.60156250","'91.99218750","'91.99218750",
"'88.52539063","'88.33007813","'93.99414063","'94.53125000","'93.26171875","'93.50585938","'92.38281250","'93.31054688","'91.65039063",
"'92.77343750","'87.25585938","'92.82226563","'93.31054688","'92.08984375","'92.33398438","'91.21093750","'92.13867188","'90.52734375",
"'80.76171875","'75.97656250","'80.81054688","'81.25000000","'80.17578125","'80.41992188","'79.44335938","'80.22460938","'78.80859375",
"'86.18164063","'81.05468750","'86.23046875","'86.71875000","'85.59570313","'85.79101563","'84.76562500","'85.64453125","'84.13085938",
"'90.23437500","'84.81445313","'90.23437500","'90.77148438","'89.55078125","'89.79492188","'88.72070313","'89.59960938","'88.03710938",
"'89.40429688","'84.08203125","'89.45312500","'89.94140625","'88.76953125","'89.01367188","'87.93945313","'88.81835938","'87.25585938",
"'92.62695313","'87.10937500","'92.67578125","'93.16406250","'91.94335938","'92.18750000","'91.06445313","'91.99218750","'90.38085938",
"'84.03320313","'79.00390625","'84.08203125","'84.52148438","'83.44726563","'83.64257813","'82.61718750","'83.49609375","'81.98242188",
"'95.06835938","'89.40429688","'95.11718750","'95.65429688","'94.38476563","'94.62890625","'93.50585938","'94.43359375","'92.77343750",
"'86.47460938","'86.47460938","'86.47460938","'86.47460938","'86.47460938","'86.47460938","'86.47460938","'86.47460938","'86.47460938",
"'86.32812500","'81.20117188","'86.37695313","'86.86523438","'85.74218750","'85.93750000","'84.91210938","'85.79101563","'84.22851563",
"'88.08593750","'82.86132813","'88.13476563","'88.62304688","'87.45117188","'87.69531250","'86.62109375","'87.50000000","'85.93750000",
"'86.03515625","'80.90820313","'86.08398438","'86.57226563","'85.44921875","'85.64453125","'84.61914063","'85.49804688","'83.98437500",
"'91.45507813","'85.98632813","'91.50390625","'91.99218750","'90.77148438","'91.01562500","'89.89257813","'90.82031250","'89.20898438",
"'84.91210938","'79.88281250","'84.96093750","'85.44921875","'84.32617188","'84.52148438","'83.49609375","'84.37500000","'82.86132813",
"'91.79687500","'86.32812500","'91.84570313","'92.38281250","'91.16210938","'91.40625000","'90.28320313","'91.21093750","'89.59960938",
"'84.52148438","'79.44335938","'84.52148438","'85.00976563","'83.88671875","'84.13085938","'83.10546875","'83.93554688","'82.47070313",
"'90.77148438","'85.35156250","'90.82031250","'91.30859375","'90.13671875","'90.38085938","'89.25781250","'90.18554688","'88.57421875",
"'85.05859375","'79.98046875","'85.10742188","'85.59570313","'84.47265625","'84.66796875","'83.64257813","'84.52148438","'83.00781250",
"'91.30859375","'85.83984375","'91.35742188","'91.84570313","'90.67382813","'90.86914063","'89.79492188","'90.72265625","'89.06250000",
"'85.49804688","'80.41992188","'85.54687500","'85.98632813","'84.86328125","'85.10742188","'84.08203125","'84.91210938","'83.39843750",
"'93.70117188","'88.13476563","'93.75000000","'94.28710938","'93.06640625","'93.26171875","'92.13867188","'93.06640625","'91.45507813",
