"'Table 2-Populus, crop frequency","'poplar, cottonwood, aspen:","'height at maturity, first","'cultivation, minimum","'seed-bearing age, and seed",
"'Species","'Height at maturity* (m)","'Year first cultivated","'Minimum seed-bearing age (yr)","'Years between large seedcrops",
"'P. acuminata","'10.7-15.4 (18.5)","'1898","'5-10","'I",
"'P. alba","'15.4-42.1","'LC","'10-15","'",
"'P. angustifolia","'10.7-15.4 (18.5)","'1893","'-","'I",
"'P. balsamifera","'18.5-36.3","'Before 1689","'8-10","'",
"'P. balsamifera spp. trichocarpa","'15.4-61.5","'1892","'10","'",
"'P. X canescens","'29.2-30.8 (40)","'LC","'8-15","'-",
"'P. deltoides","'24.6-58.5","'Before 1750","'10","'",
"'spp. monilifera","'12.3-30.8","'1908","'10","'",
"'spp. wislizeni","'2.3-30.8 (40)","'1894","'5","'",
"'P. fremontii","'15.4-30.8","'1904","'5-10","'",
"'P. grandidentata","'9.2-27.7 (30.8)","'1772","'10-20","'4-5",
"'P. heterophylla","'24.6-27.3 (30.8)","'1656","'10","'",
"'P. laurifolia","'to 15.4","'1830","'8-10","'",
"'P. maximowiczii","'to 30.2","'Before 1890","'10","'I",
"'P. nigra","'18.5-30.8","'LC","'8-12","'|",
"'P. simonii","'to 12.3+","'1862","'10","'-",
"'P. tremula","'21.5-38.5","'LC","'8-10","'4.5",
"'P. tremuloides","'15.4-27.7 (30.8)","'1812","'10-20","'4-5",
"'","'","'","'","'",
,,,,

'Confidence Scores % (Table Cell)
"'92.72460938","'92.72460938","'92.72460938","'92.72460938","'92.72460938",
"'94.43359375","'94.14062500","'94.77539063","'94.09179688","'95.36132813",
"'92.08984375","'91.79687500","'92.43164063","'91.74804688","'92.96875000",
"'83.98437500","'83.69140625","'84.27734375","'83.64257813","'84.76562500",
"'90.47851563","'90.13671875","'90.77148438","'90.08789063","'91.30859375",
"'84.52148438","'84.22851563","'84.86328125","'84.17968750","'85.35156250",
"'88.28125000","'87.98828125","'88.62304688","'87.93945313","'89.16015625",
"'86.37695313","'86.08398438","'86.66992188","'86.03515625","'87.20703125",
"'85.79101563","'85.49804688","'86.13281250","'85.44921875","'86.62109375",
"'83.83789063","'83.54492188","'84.13085938","'83.49609375","'84.61914063",
"'78.36914063","'78.12500000","'78.66210938","'78.07617188","'79.15039063",
"'87.15820313","'86.86523438","'87.50000000","'86.81640625","'87.98828125",
"'91.25976563","'90.91796875","'91.60156250","'90.86914063","'92.13867188",
"'82.86132813","'82.56835938","'83.15429688","'82.51953125","'83.64257813",
"'90.28320313","'89.94140625","'90.57617188","'89.89257813","'91.16210938",
"'80.90820313","'80.61523438","'81.20117188","'80.61523438","'81.68945313",
"'89.50195313","'89.20898438","'89.84375000","'89.16015625","'90.38085938",
"'87.54882813","'87.25585938","'87.84179688","'87.20703125","'88.37890625",
"'88.42773438","'88.13476563","'88.76953125","'88.08593750","'89.30664063",
"'90.86914063","'90.57617188","'91.21093750","'90.52734375","'91.74804688",
"'35.57128906","'35.57128906","'35.57128906","'45.11718750","'45.72753906",
