"'Table results","'7-Eucalyptus, eucalyptus:","'germination test",
"'Species","'% Germination","'Duration (days)",
"'E. citriodora","'51","'15",
"'E. grandis","'98","'29",
"'E. microcorys","'76","'24",
"'E. pilularis","'II","'29",
"'E. robusta","'84","'18",
"'","'100","'21",
"'E. sideroxylon","'69","'49",
,,

'Confidence Scores % (Table Cell)
""'88.57421875","'88.57421875","'88.57421875",
"'84.13085938","'88.13476563","'89.25781250",
"'75.00000000","'78.56445313","'79.58984375",
"'69.77539063","'73.04687500","'74.02343750",
"'76.22070313","'79.83398438","'80.85937500",
"'78.17382813","'81.88476563","'82.95898438",
"'51.02539063","'53.46679688","'54.15039063",
"'51.12304688","'53.56445313","'54.24804688",
"'85.59570313","'89.59960938","'90.77148438",
