"'Table 4-Eucalyptus, eucalyptus:","'fruit drying","'schedules","'","'","'",
"'","'","'Air-drying","'","'Kiln-drying","'",
"'Species","'Temp (C)","'Time (days)","'Temp (C)","'Time (hrs)","'",
"'E. camaldulensis","'32","'I","'59","'3","'",
"'E. delegatensis","'32","'3","'59","'6","'",
"'E. globulus","'21","'5","'","'","'",
"'E. obliqua","'32","'3","'59","'5","'",
"'E. regnans","'32","'3","'59","'6","'",
"'E. sideroxylon","'21","'4","'-","'","'",
"'E. viminalis","'21","'6","'","'","'",
"'","'","'","'","'","'",
,,,,,

'Confidence Scores % (Table Cell)
""'93.45703125","'93.45703125","'93.45703125","'93.45703125","'93.45703125","'93.45703125",
"'57.47070313","'88.13476563","'88.13476563","'61.52343750","'61.52343750","'45.99609375",
"'57.47070313","'85.25390625","'91.50390625","'91.40625000","'65.72265625","'45.99609375",
"'86.42578125","'79.63867188","'85.40039063","'85.35156250","'61.37695313","'71.24023438",
"'76.07421875","'70.06835938","'75.19531250","'75.09765625","'54.00390625","'62.69531250",
"'83.39843750","'76.80664063","'82.42187500","'82.32421875","'59.22851563","'68.70117188",
"'82.71484375","'76.22070313","'81.78710938","'81.68945313","'58.74023438","'68.16406250",
"'86.52343750","'79.68750000","'85.49804688","'85.44921875","'61.42578125","'71.28906250",
"'82.42187500","'75.92773438","'81.44531250","'81.34765625","'58.49609375","'67.91992188",
"'92.13867188","'84.86328125","'91.06445313","'90.96679688","'65.42968750","'75.92773438",
"'48.43750000","'48.43750000","'48.43750000","'48.43750000","'48.43750000","'48.43750000",
