"'","'pine: cone","'yields","'(continued)","'","'","'","'","'","'","'",
"'","'","'","'Seed","'weight","'","'Clean","'seeds","'(x1,000)/wt","'","'",
"'","'Place","'/cone","'wt","'/cone","'vol","'Range","'","'Avg","'","'",
"'Species","'collected","'g/kg","'oz/lb","'kg/hl","'lb/bu","'Akg","'","'Akg","'","'Lot",
"'P. ponderosa var. ponderosa","'","'20-70","'.3-1.0","'.8-2.6","'.6-2.0","'15-51","'7-23","'26","'12","'185",
"'var. scopulorum","'Black Hills","'39","'.6","'1.93","'1.5","'22-34","'10-15","'29","'13","'74",
"'P. pumila","'-","'","'","'","'","'","'","'24","'II","'II",
"'P. pungens","'West Virginia","'30","'.45","'.52","'.4","'68-84","'31-38","'75","'34","'3",
"'P. quadrifolia","'California","'-","'-","'","'-","'1.8-2.6","'0.8-1.2","'2.1","'1.0","'3",
"'P. radiata","'California","'9","'.14","'.39","'.3","'23-35","'10-16","'29","'13","'7",
"'P. resinosa","'Lake States","'10-20","'1.5-.3","'.64-1.0","'.5-.8","'66-166","'30-76","'115","'52","'529",
"'P. rigida","'Pennsylvania/ New York","'20-30","'.3-.45","'1.03","'.8","'94-181","'42-82","'136","'62","'10",
"'P. roxburghii","'India","'","'","'","'","'6.8-25","'3-11","'12","'25","'36",
"'P. sabiniana","'California","'","'","'","'","'1.2-1.4","'0.5-0.6","'1.3","'0.6","'3",
"'P. serotina","'SE US","'-","'","'.52","'.4","'104-139","'47-63","'119","'54","'4",
"'P. sibirica","'Siberia","'-","'-","'","'","'3.5-4.6","'1.6-2.1","'4.0","'1.8","'>10",
"'P. strobiformis","'Arizona","'80","'11.2","'3.5","'2.7","'5.5-6.4","'2.5-2.9","'6.0","'2.7","'10",
"'P. strobus","'-","'20-30","'.3-.45","'.4-2.2","'.3-1.7","'39-117","'17.5-53","'58","'26","'300",
"'P. sylvestris","'Europe, E US","'20","'.3","'.5-0.8","'.4-.6","'74-245","'33.8-111","'165","'75","'>346",
"'P. taeda","'-","'20-30","'.3-.45","'.8-1.7","'.6-.63","'27-58","'12-26","'40","'18","'652",
"'P. thunbergiana","'Japan, Korea, NE US","'","'","'.26-1.0","'.2-.8","'57-110","'26-50","'75.0","'34","'50",
"'P. torreyana","'California","'","'","'","'","'8.8-17.6","'.4-.8","'11.0","'0.5","'7",
"'P. virginiana","'-","'30","'.45","'.64-1.2","'.5-.9","'101-201","'46-91","'122","'55","'30",
"'P. wallichiana","'India","'","'","'","'","'16-23","'7-10","'20","'9","'163",
,,,,,,,,,,

'Confidence Scores % (Table Cell)
"'59.27734375","'59.27734375","'59.27734375","'59.27734375","'59.27734375","'59.27734375","'59.27734375","'59.27734375","'59.27734375","'59.27734375","'59.27734375",
"'88.81835938","'89.69726563","'93.35937500","'93.35937500","'93.35937500","'93.35937500","'85.93750000","'85.93750000","'85.93750000","'85.93750000","'66.21093750",
"'88.81835938","'89.69726563","'80.90820313","'80.90820313","'83.98437500","'83.98437500","'75.63476563","'75.63476563","'85.44921875","'85.44921875","'66.21093750",
"'88.81835938","'89.69726563","'89.94140625","'92.96875000","'94.09179688","'92.91992188","'93.89648438","'92.57812500","'91.25976563","'91.35742188","'66.21093750",
"'53.41796875","'53.32031250","'51.36718750","'53.07617188","'53.71093750","'53.07617188","'53.61328125","'52.88085938","'52.09960938","'52.14843750","'52.88085938",
"'84.08203125","'83.88671875","'80.81054688","'83.49609375","'84.52148438","'83.44726563","'84.37500000","'83.15429688","'81.98242188","'82.08007813","'83.15429688",
"'90.23437500","'90.03906250","'86.76757813","'89.64843750","'90.72265625","'89.59960938","'90.52734375","'89.25781250","'87.98828125","'88.08593750","'89.25781250",
"'91.25976563","'91.06445313","'87.74414063","'90.67382813","'91.74804688","'90.62500000","'91.60156250","'90.28320313","'89.01367188","'89.06250000","'90.28320313",
"'87.98828125","'87.84179688","'84.61914063","'87.45117188","'88.52539063","'87.40234375","'88.33007813","'87.06054688","'85.83984375","'85.93750000","'87.06054688",
"'90.08789063","'89.89257813","'86.62109375","'89.50195313","'90.57617188","'89.45312500","'90.38085938","'89.11132813","'87.84179688","'87.93945313","'89.11132813",
"'88.52539063","'88.33007813","'85.10742188","'87.93945313","'89.01367188","'87.89062500","'88.86718750","'87.59765625","'86.32812500","'86.42578125","'87.59765625",
"'54.34570313","'54.19921875","'52.24609375","'53.95507813","'54.63867188","'53.95507813","'54.54101563","'53.75976563","'52.97851563","'53.02734375","'53.75976563",
"'87.64648438","'87.45117188","'84.27734375","'87.06054688","'88.13476563","'87.01171875","'87.93945313","'86.71875000","'85.44921875","'85.54687500","'86.71875000",
"'89.79492188","'89.59960938","'86.32812500","'89.20898438","'90.28320313","'89.16015625","'90.13671875","'88.86718750","'87.54882813","'87.64648438","'88.86718750",
"'89.01367188","'88.81835938","'85.59570313","'88.42773438","'89.50195313","'88.37890625","'89.30664063","'88.03710938","'86.76757813","'86.86523438","'88.03710938",
"'90.86914063","'90.67382813","'87.40234375","'90.28320313","'91.40625000","'90.23437500","'91.21093750","'89.89257813","'88.62304688","'88.72070313","'89.89257813",
"'88.42773438","'88.23242188","'85.00976563","'87.84179688","'88.91601563","'87.79296875","'88.76953125","'87.50000000","'86.23046875","'86.32812500","'87.50000000",
"'90.18554688","'89.99023438","'86.71875000","'89.59960938","'90.67382813","'89.55078125","'90.47851563","'89.20898438","'87.93945313","'88.03710938","'89.20898438",
"'87.98828125","'87.79296875","'84.57031250","'87.40234375","'88.47656250","'87.35351563","'88.28125000","'87.01171875","'85.79101563","'85.88867188","'87.01171875",
"'90.52734375","'90.33203125","'87.01171875","'89.89257813","'91.01562500","'89.84375000","'90.82031250","'89.55078125","'88.28125000","'88.33007813","'89.55078125",
"'88.13476563","'87.98828125","'84.76562500","'87.54882813","'88.62304688","'87.54882813","'88.47656250","'87.20703125","'85.98632813","'86.03515625","'87.20703125",
"'77.09960938","'76.95312500","'74.12109375","'76.61132813","'77.53906250","'76.56250000","'77.39257813","'76.26953125","'75.19531250","'75.24414063","'76.26953125",
"'85.74218750","'85.59570313","'82.47070313","'85.20507813","'86.23046875","'85.15625000","'86.03515625","'84.86328125","'83.64257813","'83.69140625","'84.86328125",
"'94.23828125","'94.04296875","'90.57617188","'93.60351563","'94.72656250","'93.55468750","'94.53125000","'93.21289063","'91.89453125","'91.99218750","'93.21289063",
